barcode,dataset_table9,batch_date_table9,cycle_life_table9,policy_table9,C1,Q1_percent,C2,local_fragment_count,local_source_files,local_batch_indices
EL150800440551,Train,2017-06-30,461,4.4C(55%)-6C,4.4,55.0,6.0,1,data_2.xlsx,20
EL150800453113,Train,2017-05-12,719,5.4C(50%)-3C,5.4,50.0,3.0,1,data_1.xlsx,16
EL150800453240,Prim. Test,2017-05-12,691,5.4C(60%)-3C,5.4,60.0,3.0,1,data_1.xlsx,19
EL150800453773,Train,2017-05-12,617,6C(60%)-3C,6.0,60.0,3.0,1,data_1.xlsx,39
EL150800460436,Prim. Test,2017-05-12,757,6C(50%)-3C,6.0,50.0,3.0,1,data_1.xlsx,34
EL150800460449,Prim. Test,2017-06-30,485,4C(4%)-4.85C,4.0,4.0,4.85,1,data_2.xlsx,15
EL150800460451,Prim. Test,2017-06-30,561,3.6C(9%)-5C,3.6,9.0,5.0,1,data_2.xlsx,11
EL150800460466,Train,2017-06-30,477,4C(13%)-5C,4.0,13.0,5.0,1,data_2.xlsx,12
EL150800460468,Prim. Test,2017-05-12,1054,5.4C(40%)-3.6C,5.4,40.0,3.6,1,data_1.xlsx,10
EL150800460473,Prim. Test,2017-06-30,466,6C(20%)-4.5C,6.0,20.0,4.5,1,data_2.xlsx,43
EL150800460474,Prim. Test,2017-06-30,457,6C(40%)-4C,6.0,40.0,4.0,1,data_2.xlsx,45
EL150800460477,Prim. Test,2017-05-12,1014,5.4C(70%)-3C,5.4,70.0,3.0,1,data_1.xlsx,24
EL150800460478,Train,2017-06-30,494,4.4C(24%)-5C,4.4,24.0,5.0,1,data_2.xlsx,18
EL150800460480,Prim. Test,2017-06-30,487,4.4C(47%)-5.5C,4.4,47.0,5.5,1,data_2.xlsx,19
EL150800460481,Prim. Test,2017-05-12,876,6C(40%)-3.6C,6.0,40.0,3.6,1,data_1.xlsx,32
EL150800460485,Train,2017-05-12,616,7C(40%)-3.6C,7.0,40.0,3.6,1,data_1.xlsx,45
EL150800460486,Train,2017-05-12,2160,3.6C(80%)-3.6C,3.6,80.0,3.6,2,data_1.xlsx;data_2.xlsx,2;9
EL150800460492,Prim. Test,2017-06-30,499,5.2C(66%)-3.5C,5.2,66.0,3.5,1,data_2.xlsx,35
EL150800460498,Train,2017-06-30,462,6C(31%)-4.25C,6.0,31.0,4.25,1,data_2.xlsx,44
EL150800460501,Train,2017-06-30,527,4.65C(69%)-6C,4.65,69.0,6.0,1,data_2.xlsx,24
EL150800460506,Train,2017-05-12,704,6C(50%)-3.6C,6.0,50.0,3.6,1,data_1.xlsx,37
EL150800460507,Train,2017-05-12,860,6C(30%)-3.6C,6.0,30.0,3.6,1,data_1.xlsx,29
