barcode,early_cycle_limit,early_valid_cycle_count,fragment_count,fragment_merge_valid,QDischarge_early_mean,QDischarge_early_slope_per_cycle,QCharge_early_mean,QCharge_early_slope_per_cycle,IR_early_mean,IR_early_slope_per_cycle,Tmax_early_mean,Tmax_early_slope_per_cycle,Tavg_early_mean,Tavg_early_slope_per_cycle,Tmin_early_mean,Tmin_early_slope_per_cycle,chargetime_early_mean,chargetime_early_slope_per_cycle
EL150800460514,100,99,2,True,1.0805965747474746,-0.0002068070129870133,1.0804340131313133,-0.0002085974978354979,0.01664332204040404,-6.107912059369182e-07,35.376748303030304,-0.00040831369202225357,31.603747328822767,-0.0011927638318633106,29.345268878787877,-0.0021699178231292565,13.384230505050487,-7.997672644832636e-05
EL150800460486,100,99,2,True,1.0812468797979797,5.5352925170070685e-06,1.0810921,4.809332096475178e-06,0.016750843414141414,9.0084880148423e-06,34.16065478787879,-0.001985807272727269,31.330314306927445,-0.003096363028885124,29.56150405050505,-0.002508015646258505,13.374696464646446,-0.0004598014223876992
EL150800460623,100,99,2,True,1.0853711969696969,1.0295625231910926e-05,1.0851456515151514,9.216586270871954e-06,0.016599594979797978,9.229667458256028e-06,34.544643838383834,-0.0014805758441558455,31.479584113211217,-0.0030937701244279007,29.640758727272726,-0.0027195127149041457,13.378886329966337,-5.114603174499443e-05
EL150800464977,100,99,2,True,1.0849489696969696,1.713634755720454e-05,1.0845464424242424,1.7171805813234077e-05,0.01614615604040404,8.689379270253556e-06,30.66226314141414,-0.0007081010142238711,29.942198807956427,-0.0022541127104163984,29.385641777777778,-0.0028839630303030247,12.053277171717168,-0.00012458503401286273
EL150800464865,100,99,2,True,1.0828435313131313,1.899431787260345e-05,1.082700305050505,1.8383106988249935e-05,0.016500513575757575,8.3122039703154e-06,34.38251588888889,0.001871515905998753,31.448883834165642,-0.00048718362290262133,29.4879753030303,-0.00219189088435374,12.053313636363642,0.00010934792826287742
EL150800464883,100,98,1,True,1.080380080612245,8.940468879010997e-06,1.0801769775510204,9.933544326574962e-06,0.016264626030612246,8.513797847498318e-08,33.0206305510204,0.004045688626107016,30.923000749334697,0.0008884435132958928,29.24221062244898,-0.00028954843539052055,10.95593494897965,-1.8997573456598147e-05
EL150800463886,100,99,1,True,1.0809117848484848,-4.8086468769325835e-06,1.080420604040404,-5.25366604823723e-06,0.016507268545454545,6.771518169449598e-06,35.79263145454546,0.004405752455163889,32.27384521945563,-0.0010014394108999916,29.747727232323232,-0.0021013567470624544,10.04485760942758,-0.00027192857142926947
EL150800465027,100,99,1,True,1.0969264323232324,-6.428188002473638e-06,1.0966638040404042,-8.565363017934383e-06,0.016050141454545454,8.397481842918988e-06,35.32269474747475,0.004255784799010516,31.99008450921703,-0.0004777659306107237,29.580063565656566,-0.0013149885343228163,10.044094528619514,-0.0002191811585246952
EL150800460468,100,99,1,True,1.0876998484848486,1.8204385899814532e-05,1.0874001565656566,1.952946815089689e-05,0.01683536523232323,9.212573654916496e-07,35.98493365656566,0.005172388670377243,32.64153361126789,0.0008416797575472809,30.276260303030302,-0.0013946649969078478,11.241857609427619,0.00026083386930658264
EL150800463882,100,99,1,True,1.0600838858585857,2.1809402597402858e-05,1.0594954424242424,2.314378107606686e-05,0.01603708411111111,7.5505057390228815e-06,36.231753585858584,0.0031186815584415494,32.75932260623101,-0.0004738269335264678,30.14975682828283,-0.0019145837353123035,11.684114427609464,0.00022034982477866312
EL150800463838,100,98,1,True,1.0761567510204082,2.4165203235229708e-05,1.075377469387755,2.531135201734015e-05,0.016960721295918368,6.692477635950243e-07,36.632510091836735,0.005270464123437214,33.08483815571456,-0.0003819047033502972,30.08420829591837,-0.0007660504088251096,10.79467411564626,0.0003664807477239679
