barcode,dataset_table9,dataset_role,policy_table9,window_k,window_cycle_start,window_cycle_end,expected_cycle_count,QDischarge_valid_count,QDischarge_valid_ratio,QCharge_valid_count,QCharge_valid_ratio,IR_valid_count,IR_valid_ratio,Tmax_valid_count,Tmax_valid_ratio,Tavg_valid_count,Tavg_valid_ratio,Tmin_valid_count,Tmin_valid_ratio,chargetime_valid_count,chargetime_valid_ratio,QDischarge_end,QDischarge_mean,QDischarge_slope,QDischarge_std,QDischarge_delta_cycle2_to_k,QCharge_mean,QCharge_slope,QCharge_delta_cycle2_to_k,IR_end,IR_mean,IR_slope,IR_delta_cycle2_to_k,Tmax_mean,Tavg_mean,Tmin_mean,chargetime_mean,chargetime_slope,QDischarge_recent10_slope
EL150800440551,Train,Train,4.4C(55%)-6C,10,2,10,9,9,1,9,1,9,1,9,1,9,1,9,1,9,1,1.049107,1.04901874444,0.000129671666667,0.000559182741172,0.0010697,1.04911243333,0.000122741666667,0.0007741,0.017258193,0.0175581503333,-9.09403333333e-05,-0.000670746,34.5590867778,32.303904333,30.0674504444,10.3130038889,-0.00277580555556,0.000129671666667
EL150800453113,Train,Train,5.4C(50%)-3C,10,2,10,9,9,1,9,1,9,1,9,1,9,1,9,1,9,1,1.0666022,1.06469408889,0.000642203333333,0.00173822942767,0.0054786,1.06394522222,0.000671905,0.0057051,0.016743079,0.016975273,-6.030555e-05,-0.000424968,36.8215771111,33.1772107956,30.0213517778,10.8008674074,0.00256491666667,0.000642203333333
EL150800453240,Prim. Test,Primary,5.4C(60%)-3C,10,2,10,9,9,1,9,1,9,1,9,1,9,1,9,1,9,1,1.0695512,1.06817207778,0.000427421666667,0.00112171132133,0.0033807,1.094751,0.0127284533333,0.1046186,0.019886132,0.019886132,0,0,35.1477888889,31.3253737403,29.7934646667,9.93064203704,-0.00819030555555,0.000427421666667
EL150800453773,Train,Train,6C(60%)-3C,10,2,10,9,9,1,9,1,9,1,9,1,9,1,9,1,9,1,1.0760679,1.07495487778,0.000361851666667,0.000972250016746,0.0031166,1.07527055556,0.000327141666667,0.0029255,0.016120763,0.0161663623333,-1.62387166667e-05,-0.000139591,36.703196,33.5414776264,30.4485965556,10.2299911111,-0.00272105555556,0.000361851666667
EL150800460436,Prim. Test,Primary,6C(50%)-3C,10,2,10,9,9,1,9,1,9,1,9,1,9,1,9,1,9,1,1.0961914,1.09509158889,0.000418373333333,0.00117730485379,0.0037006,1.09487757778,0.000372971666667,0.0032587,0.016448634,0.0164991103333,-1.63237166667e-05,-0.000143194,37.284812,33.5030236772,30.3287111111,10.1242124074,-0.00970213888889,0.000418373333333
EL150800460449,Prim. Test,Primary,4C(4%)-4.85C,10,2,10,9,9,1,9,1,9,1,9,1,9,1,9,1,9,1,1.0816983,1.08064088889,0.000388135,0.00111404843845,0.0036299,1.08029748889,0.00042215,0.0036445,0.01698911,0.0170531447778,-2.04874166667e-05,-0.000175055,36.7113015556,32.7689829939,30.2886767778,10.1252405556,0.00273224999998,0.000388135
EL150800460451,Prim. Test,Primary,3.6C(9%)-5C,10,2,10,9,9,1,9,1,9,1,9,1,9,1,9,1,9,1,1.073199,1.07190821111,0.000451748333333,0.0012719601998,0.0041469,1.07094252222,0.000494721666667,0.0044996,0.017957224,0.0180657004444,-3.96444e-05,-0.000308549,38.1838907778,33.0521816134,30.0030361111,10.1108001852,-0.000264277777783,0.000451748333333
EL150800460466,Train,Train,4C(13%)-5C,10,2,10,9,9,1,9,1,9,1,9,1,9,1,9,1,9,1,1.0752143,1.07417964444,0.000377491666667,0.00109427724713,0.0035096,1.07301985556,0.000405335,0.0036613,0.017369324,0.0174517112222,-3.21627833333e-05,-0.000237467,36.732588,33.0871396938,30.4490655556,10.1070661111,-1.23888888832e-05,0.000377491666667
EL150800460468,Prim. Test,Primary,5.4C(40%)-3.6C,10,2,10,9,9,1,9,1,9,1,9,1,9,1,9,1,9,1,1.0866315,1.08506967778,0.00045444,0.0011854533711,0.0036573,1.08455074444,0.00052618,0.0044643,0.016847193,0.0168992654444,-1.497855e-05,-0.000131034,35.8571412222,32.601130675,30.3726766667,11.2280851852,0.0103693888889,0.00045444
EL150800460473,Prim. Test,Primary,6C(20%)-4.5C,10,2,10,9,9,1,9,1,9,1,9,1,9,1,9,1,9,1,1.0820979,1.08088157778,0.000399781666667,0.00118874433451,0.004074,1.08096096667,0.000400615,0.0040531,0.017230392,0.0172255895556,-1.39627833333e-05,-0.000164065,37.2471694444,32.9436963619,30.1991933333,10.1341638889,-0.00135494444442,0.000399781666667
