barcode,dataset_table9,dataset_role,policy_table9,window_k,window_cycle_start,window_cycle_end,expected_cycle_count,QDischarge_valid_count,QDischarge_valid_ratio,QCharge_valid_count,QCharge_valid_ratio,IR_valid_count,IR_valid_ratio,Tmax_valid_count,Tmax_valid_ratio,Tavg_valid_count,Tavg_valid_ratio,Tmin_valid_count,Tmin_valid_ratio,chargetime_valid_count,chargetime_valid_ratio,QDischarge_end,QDischarge_mean,QDischarge_slope,QDischarge_std,QDischarge_delta_cycle2_to_k,QCharge_mean,QCharge_slope,QCharge_delta_cycle2_to_k,IR_end,IR_mean,IR_slope,IR_delta_cycle2_to_k,Tmax_mean,Tavg_mean,Tmin_mean,chargetime_mean,chargetime_slope
EL150800440551,Train,Train,4.4C(55%)-6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0496798,1.048711525,0.00059979,0.000708563089552,0.0016425,1.048790875,0.00049285,0.0012092,0.017613361,0.0178061545,-0.0001287488,-0.000315578,34.78134075,32.3637486026,29.91106125,10.32908125,0.0187485
EL150800453113,Train,Train,5.4C(50%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0646247,1.063054575,0.00114867,0.00129832595171,0.0035011,1.062228425,0.00116231,0.0035584,0.017060056,0.01713278225,-3.53919e-05,-0.000107991,36.789646,33.1614143065,30.01009375,10.8062995833,0.000552166666676
EL150800453240,Prim. Test,Primary,5.4C(60%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0678893,1.067066575,0.00057773,0.000647162141101,0.0017188,1.066924825,0.00068099,0.0020743,0.019886132,0.019886132,0,0,35.14070025,31.3528702022,29.86211,9.95774458333,-0.000563166666677
EL150800453773,Train,Train,6C(60%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0748016,1.074024725,0.00058803,0.000680808182879,0.0018503,1.07443275,0.00052766,0.0016773,0.016186936,0.016211968,-2.52326e-05,-7.3418e-05,36.65639325,33.5246015438,30.47705325,10.25518875,0.0252755
EL150800460436,Prim. Test,Primary,6C(50%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0951551,1.094023125,0.00087777,0.00100218297824,0.0026643,1.09392715,0.00080104,0.0024246,0.016506692,0.01654050475,-2.87339e-05,-8.5136e-05,37.2887765,33.4947749002,30.342914,10.1379545833,-0.0333791666667
EL150800460449,Prim. Test,Primary,4C(4%)-4.85C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0808921,1.0796972,0.0009241,0.00105727043135,0.0028237,1.07911775,0.00047984,0.0013502,0.01703733,0.01710133575,-4.46497e-05,-0.000126835,36.72599225,32.8240662047,30.37198025,10.1183870833,0.00833149999994
EL150800460451,Prim. Test,Primary,3.6C(9%)-5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0720686,1.0708015,0.0010029,0.00114694807424,0.0030165,1.0697258,0.00105504,0.0031876,0.017997704,0.0181644065,-8.66158e-05,-0.000268069,38.16032875,33.0277518032,29.9713385,10.1066,-0.000950333333264
EL150800460466,Train,Train,4C(13%)-5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0743829,1.073241375,0.00090539,0.001032231489,0.0026782,1.071982225,0.00087373,0.0025322,0.017429633,0.0175366275,-6.59616e-05,-0.000177158,36.80800625,33.1111305539,30.48606375,10.1070941667,-1.79999999574e-05
EL150800460468,Prim. Test,Primary,5.4C(40%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0847102,1.083900025,0.00057521,0.000645802858367,0.001736,1.083228825,0.00077369,0.0023796,0.016898464,0.01693466775,-2.35269e-05,-7.9763e-05,35.89888475,32.5960716752,30.41251875,11.2079916667,-4.69999999856e-05
EL150800460473,Prim. Test,Primary,6C(20%)-4.5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0810982,1.07992045,0.00101786,0.00119363048407,0.0030743,1.07998195,0.00101122,0.0030434,0.0170926,0.01725893125,-8.51373e-05,-0.000301857,37.329914,33.0070911814,30.2250495,10.1179383333,-0.0246483333333
