barcode,window_k,raw_expected_cycle_count,raw_valid_count,raw_valid_ratio,raw_charge_v_mean_mean,raw_charge_v_p95_mean,raw_charge_v_p95_slope
EL150800440551,10,9,9,1,3.43885864602117,3.60035192,-1.66666664507447e-08
EL150800453113,10,9,9,1,3.3543443602024,3.60023939666667,-2.48633333329606e-06
EL150800453773,10,9,9,1,3.36118611221468,3.60006062055556,-2.04266666665777e-06
EL150800460466,10,9,9,1,3.3917322835888,3.600159685,3.78250000003319e-06
EL150800460478,10,9,9,1,3.4016447286689,3.60028708722222,-3.43999999855654e-07
EL150800460485,10,9,9,1,3.37166436752997,3.60004895111111,-2.68449999985749e-06
EL150800460486,10,9,9,1,3.33335430274338,3.60027912444444,-1.16441666650072e-06
EL150800460498,10,9,9,1,3.41965985055693,3.60010607944444,-4.85224999986436e-06
EL150800460501,10,9,9,1,3.43413622324189,3.60036486833333,2.96833333411152e-07
EL150800460506,10,9,9,1,3.35758618158245,3.60028768388889,4.21916666794561e-07
EL150800460507,10,9,9,1,3.35601600676899,3.60011993277778,3.00658333337708e-06
EL150800460511,10,9,9,1,3.41651788936607,3.600306305,1.04050000002778e-06
EL150800460513,10,9,9,1,3.42619534674761,3.600073605,7.16166666632118e-07
EL150800460518,10,9,9,1,3.41594988121428,3.60021494055556,1.6681166666753e-05
EL150800460522,10,9,9,1,3.35447735940826,3.60028476,-3.34000000001331e-06
EL150800460525,10,9,9,1,3.37149214537186,3.60029756166667,1.1556666669784e-06
EL150800460602,10,9,9,1,3.39041894922746,3.6002111,-3.872999999989e-06
EL150800460603,10,9,9,1,3.40458562043083,3.60028740611111,6.62333333308718e-07
EL150800460604,10,9,9,1,3.41417318775035,3.60018036444444,5.55416666716365e-07
EL150800460608,10,9,9,1,3.40512638879732,3.60018432166667,2.6620000000084e-06
EL150800460611,10,9,9,1,3.39988640406322,3.60028790111111,-1.34858333335064e-06
EL150800460613,10,9,9,1,3.40021463159349,3.60011323111111,-1.66641666663461e-06
EL150800460614,10,9,9,1,3.39743160417318,3.60028186555556,-3.00924999984438e-06
EL150800460615,10,9,9,1,3.35511179867463,3.60029738111111,-9.56666665947399e-08
EL150800460618,10,9,9,1,3.37099948002705,3.60005446277778,-2.68166666655737e-06
EL150800460627,10,9,9,1,3.41335791268627,3.60030284055556,-7.31666663958903e-08
EL150800460628,10,9,9,1,3.40727085932789,3.60030596333333,-1.72308333322023e-06
EL150800460630,10,9,9,1,3.35757491918662,3.60017631333333,2.04616666664454e-06
EL150800460634,10,9,9,1,3.48126180484083,3.60009108833333,8.64374999998255e-06
EL150800460640,10,9,9,1,3.35578241184662,3.600157435,-2.54666666500661e-07
EL150800460641,10,9,9,1,3.4035404273382,3.60030413,-1.53774999983223e-06
EL150800460655,10,9,9,1,3.41219448897521,3.60028173111111,3.2116666670734e-07
EL150800460659,10,9,9,1,3.35363962556593,3.60028362055556,1.32499999738942e-08
EL150800463208,10,9,9,1,3.42814003359086,3.60027993722222,2.12691666681447e-06
EL150800463229,10,9,9,1,3.36573633872428,3.60005598722222,-3.34099999986632e-06
EL150800463871,10,9,9,1,3.34518641182914,3.60023118444444,-2.41008333325064e-06
EL150800463882,10,9,9,1,3.35501428360723,3.600221615,2.84916666785212e-07
EL150800464881,10,9,9,1,3.35584494991814,3.60028082888889,3.18983333338362e-06
EL150800464883,10,9,9,1,3.3440624752399,3.60027667666667,-2.2194999998382e-06
EL150800464977,10,9,9,1,3.34422253569072,3.60027630388889,4.35166666680536e-06
EL150800465027,10,9,9,1,3.35697683834467,3.60018480333333,-3.72266666656155e-06
