barcode,source_file,batch_index,local_cycle_life,dataset,batch_date,table9_cycle_life,cycle_life_match,local_policy,table9_policy,policy_match_exact,policy_match_after_newstructure_suffix
EL150800440551,data_2.xlsx,20,461,Train,2017-06-30,461,True,4.4C(55%)-6C,4.4C(55%)-6C,True,True
EL150800453113,data_1.xlsx,16,719,Train,2017-05-12,719,True,5.4C(60%)-3C,5.4C(50%)-3C,False,False
EL150800453240,data_1.xlsx,19,691,Prim. Test,2017-05-12,691,True,5.4C(70%)-3C,5.4C(60%)-3C,False,False
EL150800453773,data_1.xlsx,39,617,Train,2017-05-12,617,True,7C(40%)-3.6C,6C(60%)-3C,False,False
EL150800460436,data_1.xlsx,34,757,Prim. Test,2017-05-12,757,True,6C(60%)-3C,6C(50%)-3C,False,False
EL150800460449,data_2.xlsx,15,485,Prim. Test,2017-06-30,485,True,4C(4%)-4.85C,4C(4%)-4.85C,True,True
EL150800460451,data_2.xlsx,11,561,Prim. Test,2017-06-30,561,True,3.6C(9%)-5C,3.6C(9%)-5C,True,True
EL150800460466,data_2.xlsx,12,477,Train,2017-06-30,477,True,4C(13%)-5C,4C(13%)-5C,True,True
EL150800460468,data_1.xlsx,10,1054,Prim. Test,2017-05-12,1054,True,5.4C(40%)-3.6C,5.4C(40%)-3.6C,True,True
EL150800460473,data_2.xlsx,43,466,Prim. Test,2017-06-30,466,True,6C(20%)-4.5C,6C(20%)-4.5C,True,True
EL150800460474,data_2.xlsx,45,457,Prim. Test,2017-06-30,457,True,6C(40%)-4C,6C(40%)-4C,True,True
EL150800460477,data_1.xlsx,24,1014,Prim. Test,2017-05-12,1014,True,6C(30%)-3.6C,5.4C(70%)-3C,False,False
EL150800460478,data_2.xlsx,18,494,Train,2017-06-30,494,True,4.4C(24%)-5C,4.4C(24%)-5C,True,True
EL150800460480,data_2.xlsx,19,487,Prim. Test,2017-06-30,487,True,4.4C(47%)-5.5C,4.4C(47%)-5.5C,True,True
EL150800460481,data_1.xlsx,32,876,Prim. Test,2017-05-12,876,True,6C(50%)-3.6C,6C(40%)-3.6C,False,False
EL150800460485,data_1.xlsx,45,616,Train,2017-05-12,616,True,8C(35%)-3.6C,7C(40%)-3.6C,False,False
EL150800460486,data_1.xlsx,2,1179,Train,2017-05-12,2160,False,3.6C(80%)-3.6C,3.6C(80%)-3.6C,True,True
EL150800460486,data_2.xlsx,9,982,Train,2017-05-12,2160,False,80%)-3.6C,3.6C(80%)-3.6C,False,False
EL150800460492,data_2.xlsx,35,499,Prim. Test,2017-06-30,499,True,5.2C(66%)-3.5C,5.2C(66%)-3.5C,True,True
EL150800460498,data_2.xlsx,44,462,Train,2017-06-30,462,True,6C(31%)-4.25C,6C(31%)-4.25C,True,True
EL150800460501,data_2.xlsx,24,527,Train,2017-06-30,527,True,4.65C(69%)-6C,4.65C(69%)-6C,True,True
EL150800460506,data_1.xlsx,37,704,Train,2017-05-12,704,True,7C(40%)-3C,6C(50%)-3.6C,False,False
EL150800460507,data_1.xlsx,29,860,Train,2017-05-12,860,True,6C(50%)-3C,6C(30%)-3.6C,False,False
EL150800460510,data_2.xlsx,13,458,Prim. Test,2017-06-30,458,True,4C(31%)-5,4C(31%)-5C,False,False
EL150800460511,data_2.xlsx,38,478,Train,2017-06-30,478,True,5.6C(38%)-4.25C,5.6C(38%)-4.25C,True,True
EL150800460513,data_2.xlsx,42,429,Train,2017-06-30,429,True,5.6C(65%)-3C,5.6C(65%)-3C,True,True
EL150800460514,data_1.xlsx,1,1190,Prim. Test,2017-05-12,1852,False,3.6C(80%)-3.6C,3.6C(80%)-3.6C,True,True
EL150800460514,data_2.xlsx,8,663,Prim. Test,2017-05-12,1852,False,80%)-3.6C,3.6C(80%)-3.6C,False,False
EL150800460518,data_2.xlsx,1,300,Train,2017-06-30,300,True,1C(4%)-6C,1C(4%)-6C,True,True
EL150800460522,data_1.xlsx,18,857,Train,2017-05-12,857,True,5.4C(60%)-3.6C,5.4C(50%)-3.6C,False,False
EL150800460525,data_1.xlsx,35,742,Train,2017-05-12,742,True,7C(30%)-3.6C,6C(50%)-3C,False,False
EL150800460526,data_2.xlsx,41,499,Prim. Test,2017-06-30,499,True,5.6C(5%)-4.75C,5.6C(5%)-4.75C,True,True
EL150800460527,data_2.xlsx,31,481,Prim. Test,2017-06-30,481,True,5.2C(10%)-4.75C,5.2C(10%)-4.75C,True,True
EL150800460528,data_2.xlsx,37,535,Prim. Test,2017-06-30,535,True,5.6C(25%)-4.5C,5.6C(25%)-4.5C,True,True
EL150800460596,data_2.xlsx,27,471,Prim. Test,2017-06-30,471,True,4.8C(80%)-4.8C,4.8C(80%)-4.8C,True,True
EL150800460597,data_2.xlsx,25,495,Prim. Test,2017-06-30,495,True,4.8C(80%)-4.8C,4.8C(80%)-4.8C,True,True
EL150800460599,data_2.xlsx,48,713,Prim. Test,2017-06-30,713,True,6C(60%)-3C,6C(60%)-3C,True,True
EL150800460601,data_1.xlsx,38,648,Prim. Test,2017-05-12,648,True,7C(40%)-3C,6C(60%)-3C,False,False
EL150800460602,data_2.xlsx,3,438,Train,2017-06-30,438,True,2C(2%)-5C,2C(2%)-5C,True,True
EL150800460603,data_2.xlsx,22,489,Train,2017-06-30,489,True,4.65C(19%)-4.85C,4.65C(19%)-4.85C,True,True
EL150800460604,data_2.xlsx,30,498,Train,2017-06-30,498,True,4.9C(69%)-4.25C,4.9C(69%)-4.25C,True,True
EL150800460605,data_2.xlsx,2,148,Prim. Test,2017-06-30,148,True,2C(10%)-6C,2C(10%)-6C,True,True
EL150800460608,data_2.xlsx,32,492,Train,2017-06-30,492,True,5.2C(37%)-4.5C,5.2C(37%)-4.5C,True,True
EL150800460610,data_2.xlsx,29,509,Prim. Test,2017-06-30,509,True,4.9C(61%)-4.5C,4.9C(61%)-4.5C,True,True
EL150800460611,data_2.xlsx,26,461,Train,2017-06-30,461,True,4.8C(80%)-4.8C,4.8C(80%)-4.8C,True,True
EL150800460613,data_2.xlsx,46,487,Train,2017-06-30,487,True,6C(4%)-4.75C,6C(4%)-4.75C,True,True
EL150800460614,data_2.xlsx,28,468,Train,2017-06-30,468,True,4.9C(27%)-4.75C,4.9C(27%)-4.75C,True,True
EL150800460615,data_1.xlsx,31,709,Train,2017-05-12,709,True,6C(50%)-3.6C,6C(40%)-3C,False,False
EL150800460617,data_1.xlsx,26,854,Prim. Test,2017-05-12,854,True,6C(40%)-3C,5.4C(80%)-5.4C,False,False
EL150800460618,data_1.xlsx,43,702,Train,2017-05-12,702,True,8C(25%)-3.6C,7C(40%)-3C,False,False
EL150800460622,data_1.xlsx,36,703,Prim. Test,2017-05-12,703,True,7C(30%)-3.6C,6C(50%)-3.6C,False,False
EL150800460623,data_1.xlsx,3,1177,Prim. Test,2017-05-12,2237,False,3.6C(80%)-3.6C,3.6C(80%)-3.6C,True,True
EL150800460623,data_2.xlsx,10,1061,Prim. Test,2017-05-12,2237,False,80%)-3.6C,3.6C(80%)-3.6C,False,False
EL150800460627,data_2.xlsx,40,459,Train,2017-06-30,459,True,5.6C(58%)-3.5C,5.6C(58%)-3.5C,True,True
EL150800460628,data_2.xlsx,36,463,Train,2017-06-30,463,True,5.2C(71%)-3C,5.2C(71%)-3C,True,True
EL150800460630,data_1.xlsx,25,1017,Train,2017-05-12,1017,True,6C(40%)-3C,5.4C(70%)-3C,False,False
