barcode,dataset_table9,batch_date_table9,cycle_life_table9,policy_table9,C1,Q1_percent,C2,local_fragment_count,local_source_files,local_batch_indices,early_chargetime_median,early_chargetime_mean,early_chargetime_valid_count,QDischarge_cycle2,SOH_nom_cycle2,tau_0_80_theory_min,dataset_role
EL150800440551,Train,2017-06-30,461,4.4C(55%)-6C,4.4,55.0,6.0,1,data_2.xlsx,20,10.35002,10.322689473689474,19,1.0480373,0.952761181818,10.0,训练集
EL150800453113,Train,2017-05-12,719,5.4C(50%)-3C,5.4,50.0,3.0,1,data_1.xlsx,16,10.76352083335,10.795904351844445,18,1.0611236,0.964657818182,11.555555555555555,训练集
EL150800453240,Prim. Test,2017-05-12,691,5.4C(60%)-3C,5.4,60.0,3.0,1,data_1.xlsx,19,9.95839666667,9.940988245613685,19,1.0661705,0.969245909091,10.666666666666668,主测试集
EL150800453773,Train,2017-05-12,617,6C(60%)-3C,6.0,60.0,3.0,1,data_1.xlsx,39,10.194115,10.227882192978948,19,1.0729513,0.975410272727,10.000000000000002,训练集
EL150800460436,Prim. Test,2017-05-12,757,6C(50%)-3C,6.0,50.0,3.0,1,data_1.xlsx,34,10.0968266667,10.135807543857894,19,1.0924908,0.993173454545,11.0,主测试集
EL150800460449,Prim. Test,2017-06-30,485,4C(4%)-4.85C,4.0,4.0,4.85,1,data_2.xlsx,15,10.097655,10.128214298242106,19,1.0780684,0.980062181818,10.002061855670105,主测试集
EL150800460451,Prim. Test,2017-06-30,561,3.6C(9%)-5C,3.6,9.0,5.0,1,data_2.xlsx,11,10.0657666667,10.10352859648421,19,1.0690521,0.971865545455,10.020000000000001,主测试集
EL150800460466,Train,2017-06-30,477,4C(13%)-5C,4.0,13.0,5.0,1,data_2.xlsx,12,10.1069766667,10.120150087721052,19,1.0717047,0.974277,9.99,训练集
EL150800460468,Prim. Test,2017-05-12,1054,5.4C(40%)-3.6C,5.4,40.0,3.6,1,data_1.xlsx,10,11.2080083333,11.235041842105264,19,1.0829742,0.984522,11.11111111111111,主测试集
EL150800460473,Prim. Test,2017-06-30,466,6C(20%)-4.5C,6.0,20.0,4.5,1,data_2.xlsx,43,10.0974916667,10.119198947368421,19,1.0780239,0.980021727273,10.000000000000002,主测试集
EL150800460474,Prim. Test,2017-06-30,457,6C(40%)-4C,6.0,40.0,4.0,1,data_2.xlsx,45,10.1796083333,10.140806315794736,19,1.070887,0.973533636364,10.000000000000002,主测试集
