policy_table9,cell_count,life_mean,life_std,datasets
5.3C(54%)-4C,8,1074.375,129.67424846239024,Sec. test
5.6C(36%)-4.3C,8,930.875,135.0242703051143,Sec. test
5.6C(19%)-4.6C,7,963.4285714285714,148.689673641511,Sec. test
5C(67%)-4C,6,1115.6666666666667,440.4241894658678,Sec. test
4.8C(80%)-4.8C,5,586.6,173.41078397839044,Prim. Test;Train
4.36C(80%)-4.36C,4,1588.25,350.9381474467165,Sec. test
3.6C(80%)-3.6C,3,2083.0,203.72285095197347,Prim. Test;Train
3.7C(31%)-5.9C,3,660.0,115.65898149300814,Sec. test
6C(60%)-3C,3,659.3333333333334,48.993196806631566,Prim. Test;Train
4C(80%)-4C,2,1571.5,194.45436482630058,Prim. Test;Train
5.4C(70%)-3C,2,1015.5,2.1213203435596424,Prim. Test;Train
5.4C(40%)-3.6C,2,921.0,188.09040379562165,Prim. Test;Train
7C(40%)-3C,2,876.5,246.7802666341051,Prim. Test;Train
5.9C(15%)-4.6C,2,867.0,12.727922061357855,Sec. test
5.9C(60%)-3.1C,2,866.5,191.6259377015544,Sec. test
5.4C(80%)-5.4C,2,862.0,11.313708498984761,Prim. Test;Train
5.4C(50%)-3.6C,2,859.5,3.5355339059327378,Prim. Test;Train
6C(30%)-3.6C,2,851.0,12.727922061357855,Prim. Test;Train
6C(40%)-3C,2,813.0,147.07821048680188,Prim. Test;Train
6C(40%)-3.6C,2,803.5,102.5304832720494,Prim. Test;Train
5.4C(50%)-3C,2,799.5,113.84419177103415,Prim. Test;Train
7C(30%)-3.6C,2,795.5,241.1234123846127,Prim. Test;Train
6C(50%)-3C,2,749.5,10.606601717798213,Prim. Test;Train
5.4C(60%)-3C,2,739.5,68.58935777509511,Prim. Test;Train
6C(50%)-3.6C,2,703.5,0.7071067811865476,Prim. Test;Train
7C(40%)-3.6C,2,633.5,24.748737341529164,Prim. Test;Train
5.4C(60%)-3.6C,2,546.5,17.67766952966369,Prim. Test;Train
4.4C(80%)-4.4C,1,1074.0,,Train
8C(15%)-3.6C,1,599.0,,Prim. Test
3.6C(9%)-5C,1,561.0,,Prim. Test
5.6C(25%)-4.5C,1,535.0,,Prim. Test
4.65C(69%)-6C,1,527.0,,Train
5.2C(58%)-4C,1,520.0,,Train
5.2C(50%)-4.25C,1,519.0,,Prim. Test
4.65C(44%)-5C,1,513.0,,Prim. Test
3.6C(30%)-6C,1,511.0,,Train
4.9C(61%)-4.5C,1,509.0,,Prim. Test
4.4C(8%)-4.85C,1,502.0,,Prim. Test
5.2C(66%)-3.5C,1,499.0,,Prim. Test
5.6C(5%)-4.75C,1,499.0,,Prim. Test
4.9C(69%)-4.25C,1,498.0,,Train
4.4C(24%)-5C,1,494.0,,Train
5.2C(37%)-4.5C,1,492.0,,Train
4.65C(19%)-4.85C,1,489.0,,Train
4.4C(47%)-5.5C,1,487.0,,Prim. Test
6C(4%)-4.75C,1,487.0,,Train
4C(4%)-4.85C,1,485.0,,Prim. Test
4C(40%)-6C,1,483.0,,Train
5.2C(10%)-4.75C,1,481.0,,Prim. Test
3.6C(2%)-4.85C,1,480.0,,Prim. Test
5.6C(38%)-4.25C,1,478.0,,Train
4C(13%)-5C,1,477.0,,Train
4.9C(27%)-4.75C,1,468.0,,Train
6C(20%)-4.5C,1,466.0,,Prim. Test
5.6C(47%)-4C,1,465.0,,Prim. Test
5.2C(71%)-3C,1,463.0,,Train
6C(31%)-4.25C,1,462.0,,Train
4.4C(55%)-6C,1,461.0,,Train
5.6C(58%)-3.5C,1,459.0,,Train
4C(31%)-5C,1,458.0,,Prim. Test
6C(40%)-4C,1,457.0,,Prim. Test
3.6C(22%)-5.5C,1,444.0,,Train
2C(2%)-5C,1,438.0,,Train
5.6C(65%)-3C,1,429.0,,Train
6C(52%)-3.5C,1,429.0,,Prim. Test
2C(7%)-5.5C,1,335.0,,Prim. Test
1C(4%)-6C,1,300.0,,Train
2C(10%)-6C,1,148.0,,Prim. Test
