policy_table9,cell_count,life_mean,life_median,life_std,life_min,life_max,C1,Q1_percent,C2,early_chargetime_median,tau_0_80_theory_min,datasets,charge_minus_tau_min,repeated_policy
3.6C(80%)-3.6C,3,2083.0,2160.0,203.72285095197347,1852,2237,3.6,80.0,3.6,13.397469444466665,13.333333333333334,主测试集;训练集,0.0641361111333314,True
4.36C(80%)-4.36C,4,1588.25,1719.5,350.9381474467165,1078,1836,4.36,80.0,4.36,11.03885375,11.009174311926609,次测试集,0.029679438073390685,True
4C(80%)-4C,2,1571.5,1571.5,194.45436482630058,1434,1709,4.0,80.0,4.0,12.050373333349999,12.0,主测试集;训练集,0.05037333334999872,True
5C(67%)-4C,6,1115.6666666666667,918.5,440.4241894658678,813,1935,5.0,67.0,4.0,10.04292,9.99,次测试集,0.0529200000000003,True
5.3C(54%)-4C,8,1074.375,1051.0,129.67424846239024,935,1315,5.3,54.0,4.0,10.0426002083375,10.013207547169811,次测试集,0.029392661167689127,True
4.4C(80%)-4.4C,1,1074.0,1074.0,0.0,1074,1074,4.4,80.0,4.4,10.91745,10.90909090909091,训练集,0.008359090909090483,False
5.4C(70%)-3C,2,1015.5,1015.5,2.1213203435596424,1014,1017,5.4,70.0,3.0,11.76443416665,9.77777777777778,主测试集;训练集,1.9866563888722197,True
5.6C(19%)-4.6C,7,963.4285714285714,1028.0,148.689673641511,796,1146,5.6,19.0,4.6,10.043000952385714,9.992236024844724,次测试集,0.05076492754099071,True
5.6C(36%)-4.3C,8,930.875,890.5,135.0242703051143,786,1155,5.6,36.0,4.3,10.042814166674999,9.996677740863788,次测试集,0.04613642581121091,True
5.4C(40%)-3.6C,2,921.0,921.0,188.09040379562165,788,1054,5.4,40.0,3.6,11.4301683333,11.11111111111111,主测试集;训练集,0.31905722218888855,True
7C(40%)-3C,2,876.5,876.5,246.7802666341051,702,1051,7.0,40.0,3.0,11.5961791667,11.428571428571429,主测试集;训练集,0.16760773812857188,True
5.9C(15%)-4.6C,2,867.0,867.0,12.727922061357855,858,876,5.9,15.0,4.6,10.04197083335,10.003684598378776,次测试集,0.038286234971224076,True
5.9C(60%)-3.1C,2,866.5,866.5,191.6259377015544,731,1002,5.9,60.0,3.1,10.044517500000001,9.97266265718972,次测试集,0.0718548428102821,True
5.4C(80%)-5.4C,2,862.0,862.0,11.313708498984761,854,870,5.4,80.0,5.4,11.472158333300001,8.88888888888889,主测试集;训练集,2.583269444411112,True
5.4C(50%)-3.6C,2,859.5,859.5,3.5355339059327378,857,862,5.4,50.0,3.6,10.09690083335,10.555555555555555,主测试集;训练集,-0.45865472220555503,True
6C(30%)-3.6C,2,851.0,851.0,12.727922061357855,842,860,6.0,30.0,3.6,10.9717808333,11.333333333333332,主测试集;训练集,-0.3615525000333317,True
6C(40%)-3C,2,813.0,813.0,147.07821048680188,709,917,6.0,40.0,3.0,10.63825166665,12.0,主测试集;训练集,-1.3617483333500005,True
6C(40%)-3.6C,2,803.5,803.5,102.5304832720494,731,876,6.0,40.0,3.6,10.096795,10.666666666666668,主测试集;训练集,-0.5698716666666677,True
5.4C(50%)-3C,2,799.5,799.5,113.84419177103415,719,880,5.4,50.0,3.0,10.763393750025001,11.555555555555555,主测试集;训练集,-0.7921618055305544,True
7C(30%)-3.6C,2,795.5,795.5,241.1234123846127,625,966,7.0,30.0,3.6,11.1646625,10.904761904761903,主测试集;训练集,0.25990059523809705,True
6C(50%)-3C,2,749.5,749.5,10.606601717798213,742,757,6.0,50.0,3.0,10.54925583335,11.0,主测试集;训练集,-0.4507441666500007,True
5.4C(60%)-3C,2,739.5,739.5,68.58935777509511,691,788,5.4,60.0,3.0,9.95817416667,10.666666666666668,主测试集;训练集,-0.7084924999966677,True
6C(50%)-3.6C,2,703.5,703.5,0.7071067811865476,703,704,6.0,50.0,3.6,11.30441916665,10.000000000000002,主测试集;训练集,1.304419166649998,True
3.7C(31%)-5.9C,3,660.0,667.0,115.65898149300814,541,772,3.7,31.0,5.9,10.0615038889,10.010077874484654,次测试集,0.051426014415346444,True
6C(60%)-3C,3,659.3333333333334,648.0,48.993196806631566,617,713,6.0,60.0,3.0,10.605092777766666,10.000000000000002,主测试集;训练集,0.6050927777666644,True
7C(40%)-3.6C,2,633.5,633.5,24.748737341529164,616,651,7.0,40.0,3.6,10.720775,10.095238095238097,主测试集;训练集,0.625536904761903,True
8C(15%)-3.6C,1,599.0,599.0,0.0,599,599,8.0,15.0,3.6,10.2214433333,11.958333333333332,主测试集,-1.7368900000333323,False
4.8C(80%)-4.8C,5,586.6,495.0,173.41078397839044,461,870,4.8,80.0,4.8,10.02568033334,10.000000000000002,主测试集;训练集,0.02568033333999864,True
3.6C(9%)-5C,1,561.0,561.0,0.0,561,561,3.6,9.0,5.0,10.0657666667,10.02,主测试集,0.04576666670000051,False
5.4C(60%)-3.6C,2,546.5,546.5,17.67766952966369,534,559,5.4,60.0,3.6,8.98436333333,10.000000000000002,主测试集;训练集,-1.0156366666700016,True
5.6C(25%)-4.5C,1,535.0,535.0,0.0,535,535,5.6,25.0,4.5,10.098295,10.011904761904765,主测试集,0.08639023809523572,False
4.65C(69%)-6C,1,527.0,527.0,0.0,527,527,4.65,69.0,6.0,10.2576683333,10.003225806451614,训练集,0.2544425268483863,False
5.2C(58%)-4C,1,520.0,520.0,0.0,520,520,5.2,58.0,4.0,10.09632,9.992307692307692,训练集,0.10401230769230807,False
5.2C(50%)-4.25C,1,519.0,519.0,0.0,519,519,5.2,50.0,4.25,10.0977266667,10.00452488687783,主测试集,0.09320177982217004,False
4.65C(44%)-5C,1,513.0,513.0,0.0,513,513,4.65,44.0,5.0,10.11432,9.997419354838708,主测试集,0.11690064516129084,False
3.6C(30%)-6C,1,511.0,511.0,0.0,511,511,3.6,30.0,6.0,10.2324066667,10.0,训练集,0.23240666669999932,False
4.9C(61%)-4.5C,1,509.0,509.0,0.0,509,509,4.9,61.0,4.5,10.17943,10.002721088435376,主测试集,0.17670891156462432,False
4.4C(8%)-4.85C,1,502.0,502.0,0.0,502,502,4.4,8.0,4.85,10.181285,9.998125585754456,主测试集,0.18315941424554438,False
5.2C(66%)-3.5C,1,499.0,499.0,0.0,499,499,5.2,66.0,3.5,10.1807166667,10.015384615384615,主测试集,0.1653320513153851,False
5.6C(5%)-4.75C,1,499.0,499.0,0.0,499,499,5.6,5.0,4.75,10.0990783333,10.009398496240602,主测试集,0.08967983705939808,False
4.9C(69%)-4.25C,1,498.0,498.0,0.0,498,498,4.9,69.0,4.25,10.09789,10.001920768307322,训练集,0.09596923169267768,False
4.4C(24%)-5C,1,494.0,494.0,0.0,494,494,4.4,24.0,5.0,10.110875,9.992727272727272,训练集,0.11814772727272782,False
5.2C(37%)-4.5C,1,492.0,492.0,0.0,492,492,5.2,37.0,4.5,10.179815,10.002564102564104,训练集,0.17725089743589528,False
4.65C(19%)-4.85C,1,489.0,489.0,0.0,489,489,4.65,19.0,4.85,10.18805,9.998004655803127,训练集,0.19004534419687324,False
4.4C(47%)-5.5C,1,487.0,487.0,0.0,487,487,4.4,47.0,5.5,10.1986266667,10.009090909090908,主测试集,0.18953575760909125,False
6C(4%)-4.75C,1,487.0,487.0,0.0,487,487,6.0,4.0,4.75,10.0974633333,10.0,训练集,0.09746333330000034,False
4C(4%)-4.85C,1,485.0,485.0,0.0,485,485,4.0,4.0,4.85,10.097655,10.002061855670105,主测试集,0.09559314432989474,False
4C(40%)-6C,1,483.0,483.0,0.0,483,483,4.0,40.0,6.0,10.2615216667,10.000000000000002,训练集,0.26152166669999843,False
5.2C(10%)-4.75C,1,481.0,481.0,0.0,481,481,5.2,10.0,4.75,10.09766,9.995951417004049,主测试集,0.10170858299595054,False
3.6C(2%)-4.85C,1,480.0,480.0,0.0,480,480,3.6,2.0,4.85,10.1790916667,9.98281786941581,主测试集,0.19627379728419037,False
5.6C(38%)-4.25C,1,478.0,478.0,0.0,478,478,5.6,38.0,4.25,10.1808866667,10.000840336134456,训练集,0.18004633056554376,False
4C(13%)-5C,1,477.0,477.0,0.0,477,477,4.0,13.0,5.0,10.1069766667,9.99,训练集,0.1169766666999994,False
4.9C(27%)-4.75C,1,468.0,468.0,0.0,468,468,4.9,27.0,4.75,10.1805066667,10.000859291084854,训练集,0.17964737561514532,False
6C(20%)-4.5C,1,466.0,466.0,0.0,466,466,6.0,20.0,4.5,10.0974916667,10.000000000000002,主测试集,0.09749166669999809,False
5.6C(47%)-4C,1,465.0,465.0,0.0,465,465,5.6,47.0,4.0,10.1814283333,9.985714285714288,主测试集,0.19571404758571198,False
5.2C(71%)-3C,1,463.0,463.0,0.0,463,463,5.2,71.0,3.0,10.180005,9.992307692307692,训练集,0.1876973076923072,False
6C(31%)-4.25C,1,462.0,462.0,0.0,462,462,6.0,31.0,4.25,10.096085,10.017647058823531,训练集,0.0784379411764693,False
4.4C(55%)-6C,1,461.0,461.0,0.0,461,461,4.4,55.0,6.0,10.35002,10.0,训练集,0.35002000000000066,False
5.6C(58%)-3.5C,1,459.0,459.0,0.0,459,459,5.6,58.0,3.5,10.1772533333,9.985714285714286,训练集,0.19153904758571372,False
4C(31%)-5C,1,458.0,458.0,0.0,458,458,4.0,31.0,5.0,10.18468,10.53,主测试集,-0.3453199999999992,False
6C(40%)-4C,1,457.0,457.0,0.0,457,457,6.0,40.0,4.0,10.1796083333,10.000000000000002,主测试集,0.17960833329999737,False
