policy_table9,train_n,train_life_mean,primary_n,primary_life_mean,absolute_difference,primary_seen_cell_count
3.6C(80%)-3.6C,1,2160.0,2,2044.5,115.5,2
4.8C(80%)-4.8C,2,665.5,3,534.0,131.5,3
4C(80%)-4C,1,1434.0,1,1709.0,275.0,1
5.4C(40%)-3.6C,1,788.0,1,1054.0,266.0,1
5.4C(50%)-3.6C,1,857.0,1,862.0,5.0,1
5.4C(50%)-3C,1,719.0,1,880.0,161.0,1
5.4C(60%)-3.6C,1,559.0,1,534.0,25.0,1
5.4C(60%)-3C,1,788.0,1,691.0,97.0,1
5.4C(70%)-3C,1,1017.0,1,1014.0,3.0,1
5.4C(80%)-5.4C,1,870.0,1,854.0,16.0,1
6C(30%)-3.6C,1,860.0,1,842.0,18.0,1
6C(40%)-3.6C,1,731.0,1,876.0,145.0,1
6C(40%)-3C,1,709.0,1,917.0,208.0,1
6C(50%)-3.6C,1,704.0,1,703.0,1.0,1
6C(50%)-3C,1,742.0,1,757.0,15.0,1
6C(60%)-3C,1,617.0,2,680.5,63.5,2
7C(30%)-3.6C,1,966.0,1,625.0,341.0,1
7C(40%)-3.6C,1,616.0,1,651.0,35.0,1
7C(40%)-3C,1,702.0,1,1051.0,349.0,1
