repeat,feature,standardized_coefficient
1,C1,-0.031133734393171082
1,Q1_percent,0.09014280869615789
1,C2,-0.12815829564393025
2,C1,-0.1257837483899859
2,Q1_percent,0.21001415927905348
2,C2,-0.06755286304526051
3,C1,-0.04859619987430888
3,Q1_percent,0.1059824532041291
3,C2,-0.07872833120048602
4,C1,-0.09693560181203288
4,Q1_percent,0.1671012920885302
4,C2,-0.17061740081907112
5,C1,-0.03287989112013048
5,Q1_percent,0.11890260320145359
5,C2,-0.15707320861286553
6,C1,-0.08744599167513153
6,Q1_percent,0.2516087626182139
6,C2,-0.19445090643650736
7,C1,-0.11065582962972047
7,Q1_percent,0.14923550176119313
7,C2,-0.2202316562289121
8,C1,0.1326081024914076
8,Q1_percent,0.006309557979333146
8,C2,-0.0132896256064615
9,C1,-0.006609185389807002
9,Q1_percent,0.1497497433657524
9,C2,-0.11846132698049452
10,C1,0.01912306659508638
10,Q1_percent,0.19656294638205926
10,C2,-0.04119887811818747
11,C1,-0.08294456844379647
11,Q1_percent,0.16712096981387567
11,C2,-0.1464269586650817
12,C1,-0.11596721599242946
12,Q1_percent,0.25864206507690546
12,C2,-0.07299130969115605
13,C1,0.06935399848496071
13,Q1_percent,0.11946704904282002
13,C2,-0.08375491611615622
14,C1,0.003851083057475369
14,Q1_percent,0.15869333650346015
14,C2,-0.11749875734420305
15,C1,-0.009052493414410338
15,Q1_percent,0.19954407811021102
15,C2,-0.07875273834541659
16,C1,-0.07689244005380445
16,Q1_percent,0.153705058781832
16,C2,-0.16097126395044759
17,C1,0.013189263257485375
17,Q1_percent,0.2724395773503234
17,C2,-0.08859192545858789
18,C1,0.03543695348225293
18,Q1_percent,0.11667411893352012
18,C2,-0.015567932021586448
19,C1,0.00480126862270343
19,Q1_percent,0.16144326463258163
19,C2,-0.09561800762494653
20,C1,0.11858558235410159
20,Q1_percent,0.1096586005042265
20,C2,-0.010054463232693567
21,C1,-0.03152176622313207
21,Q1_percent,0.16161098134007995
21,C2,-0.11905552904638592
22,C1,-0.044391473530420576
22,Q1_percent,0.14470651859211975
22,C2,-0.17317996322220097
23,C1,-0.14985312116691737
23,Q1_percent,0.2484828011898671
23,C2,-0.21973724541095774
24,C1,0.05124246004095318
24,Q1_percent,0.10730967260889031
24,C2,-0.04335831404174769
25,C1,-0.05807064727774592
25,Q1_percent,0.2537540153587188
25,C2,-0.14109195411683859
26,C1,0.035856063677621335
26,Q1_percent,0.10505271517217903
26,C2,-0.12625036181107097
27,C1,-0.05984249995658447
27,Q1_percent,0.15889733519817506
27,C2,-0.13112447598570554
28,C1,0.11161553333646855
28,Q1_percent,0.0615354209930698
28,C2,-0.006504658625437057
29,C1,-0.048154050489765926
29,Q1_percent,0.09316679197645081
29,C2,-0.10188253630685562
30,C1,-0.007801039565797499
30,Q1_percent,0.1441291131886252
30,C2,-0.11766590490543802
31,C1,-0.05213780394495667
31,Q1_percent,0.16439405479507418
31,C2,-0.033603920391876214
32,C1,0.01486812179345659
32,Q1_percent,0.10702747295253803
32,C2,-0.05825527009074287
33,C1,0.014617759787150828
33,Q1_percent,0.1565683395980005
33,C2,-0.10724348601015965
34,C1,0.008881825911167363
34,Q1_percent,-0.0200661998335627
34,C2,-0.11481042817591398
35,C1,-0.03952464235342363
35,Q1_percent,0.1711657787852695
35,C2,-0.08146784330798587
36,C1,0.03234105499076257
36,Q1_percent,0.11369027863664524
36,C2,-0.08967854261530438
37,C1,-0.09210082535404496
37,Q1_percent,0.15627179047713685
37,C2,-0.1773304326065089
38,C1,0.030139855975994678
38,Q1_percent,0.0524395996217591
38,C2,-0.0970740554371219
39,C1,-0.1377692933144113
39,Q1_percent,0.21282849765260922
39,C2,-0.23659586512861203
40,C1,-0.027200983148421645
40,Q1_percent,0.13920473751462847
40,C2,-0.12233192318236125
41,C1,0.00441036757503337
41,Q1_percent,0.11421093580383941
41,C2,-0.11050628457436888
42,C1,-0.018800375210052133
42,Q1_percent,0.1722522610234361
42,C2,-0.11738912786140974
43,C1,0.09094560252929892
43,Q1_percent,0.055933771809697753
43,C2,-0.07589283941102219
44,C1,-0.02934866020975525
44,Q1_percent,0.11829885758280768
44,C2,-0.10924269774655171
45,C1,0.01951759942670073
45,Q1_percent,0.1958619697012741
45,C2,-0.1138277975128249
46,C1,-0.0435374405219143
46,Q1_percent,0.16126177166805514
46,C2,-0.16584433545482258
47,C1,-0.009225777590421083
47,Q1_percent,0.07797855520231434
47,C2,-0.1193505353267343
48,C1,-0.09870898178544042
48,Q1_percent,0.13927185986975452
48,C2,-0.12625578053740605
49,C1,0.0025384134075745928
49,Q1_percent,0.15834892615656618
49,C2,-0.08969028121526491
50,C1,0.044061242793891675
50,Q1_percent,0.10113806960644063
50,C2,-0.08073243955494921
51,C1,0.1375064694592937
51,Q1_percent,0.038785140062277436
51,C2,0.005140107962043464
52,C1,-0.0820278049242372
52,Q1_percent,0.20312107844617935
52,C2,-0.17981176953976163
53,C1,-0.05167108569420431
53,Q1_percent,0.11827669998522006
53,C2,-0.16859841397584857
54,C1,-0.05224266826806003
54,Q1_percent,0.13380411339967346
54,C2,-0.18300434358070738
55,C1,-0.06270074391806194
55,Q1_percent,0.19642113436050535
55,C2,-0.12640152863447485
56,C1,0.03752685597589283
56,Q1_percent,0.07135033360221286
56,C2,-0.09327756508789543
57,C1,-0.01818627436692296
57,Q1_percent,0.22175258020877192
57,C2,-0.13464885697905743
58,C1,-0.0625398977354147
58,Q1_percent,0.0969840146471707
58,C2,-0.1104150386325451
59,C1,0.0012560434286578608
59,Q1_percent,0.1684018365817359
59,C2,-0.11967260796339255
60,C1,-0.030449199892705652
60,Q1_percent,0.14289012992858371
60,C2,-0.13074534577035188
61,C1,-0.07763738111005444
61,Q1_percent,0.19503520833448387
61,C2,-0.18530365574321317
62,C1,-0.1517595509923109
62,Q1_percent,0.11674369399238703
62,C2,-0.15526087297062807
63,C1,-0.08683452545451006
63,Q1_percent,0.16493594178595336
63,C2,-0.2303120257235349
64,C1,-0.08964861986331406
64,Q1_percent,0.17918027047394566
64,C2,-0.18130457397438418
65,C1,0.010195816347223257
65,Q1_percent,0.08349728283777194
65,C2,-0.07828613136062856
66,C1,0.0949878070242298
66,Q1_percent,0.04198435666059471
66,C2,-0.04414794769474007
67,C1,0.0732006801611829
67,Q1_percent,0.0816543906194482
67,C2,-0.05094201408478819
68,C1,0.05537200817428022
68,Q1_percent,0.11854553753220295
68,C2,-0.05987567322706691
69,C1,-0.0837303019124052
69,Q1_percent,0.1760164006075598
69,C2,-0.1846689899812758
70,C1,0.03593544094871144
70,Q1_percent,0.06649804821930469
70,C2,-0.07055305365978252
71,C1,0.014635933848287385
71,Q1_percent,0.07220253521294533
71,C2,-0.08582504301239302
72,C1,-0.12756856744932052
72,Q1_percent,0.08102091136362305
72,C2,-0.2235820418237355
73,C1,-0.017100790386895298
73,Q1_percent,0.1693047436860411
73,C2,-0.13203676627253808
74,C1,-0.04702886223377252
74,Q1_percent,0.17515357085792072
74,C2,-0.06915788906187352
75,C1,0.004888528554836069
75,Q1_percent,0.08145165135082474
75,C2,-0.12945933870207993
76,C1,-0.005696017258120938
76,Q1_percent,0.21005068501398494
76,C2,-0.04452155909602103
77,C1,-0.04726257973666309
77,Q1_percent,0.16717636408925787
77,C2,-0.10409907233940763
78,C1,-0.06743656585494956
78,Q1_percent,0.20399476257115745
78,C2,-0.16194178012271634
79,C1,-0.08369169135936189
79,Q1_percent,0.19370630513160342
79,C2,-0.1764531572533644
80,C1,-0.12382095168845972
80,Q1_percent,0.24267863655359836
80,C2,-0.14894494933962546
81,C1,-0.01284716675959107
81,Q1_percent,0.1363422551605959
81,C2,-0.16207258921167503
82,C1,-0.07380115316966664
82,Q1_percent,0.17319209615018177
82,C2,-0.18145135959783962
83,C1,0.003658854359108942
83,Q1_percent,0.11795337281958186
83,C2,-0.08761684250974339
84,C1,0.032583701962572556
84,Q1_percent,0.08905991964903938
84,C2,-0.09925250030423712
85,C1,0.005496395302416376
85,Q1_percent,0.12627893308130972
85,C2,-0.08465311615234733
86,C1,0.04826004250245714
86,Q1_percent,0.17857223959994215
86,C2,-0.1319618388602412
87,C1,-0.1107021677653135
87,Q1_percent,0.22587066237043255
87,C2,-0.1395382296959195
88,C1,-0.1430026823444411
88,Q1_percent,0.2758752027162628
88,C2,-0.15896825562215752
89,C1,-0.11771321848113182
