barcode,policy_table9,cycle_life_table9,C1,Q1_percent,C2,actual_log_life,outer_fold,full_pred_log,drop_C1_pred_log,drop_Q1_percent_pred_log,drop_C2_pred_log
EL150800440551,4.4C(55%)-6C,461,4.4,55.0,6.0,6.133398042996649,5,6.381243527428766,6.353344705329316,6.310471415921208,6.512212472778183
EL150800453113,5.4C(50%)-3C,719,5.4,50.0,3.0,6.577861357721047,1,6.522119377053818,6.552570678022192,6.523508979411553,6.49277727768439
EL150800453773,6C(60%)-3C,617,6.0,60.0,3.0,6.424869023905388,5,6.636264543599737,6.690323579661342,6.589808137398236,6.615971687765371
EL150800460466,4C(13%)-5C,477,4.0,13.0,5.0,6.1675164908883415,4,6.214004257934863,6.127099330173434,6.334899502756623,6.241603965153153
EL150800460478,4.4C(24%)-5C,494,4.4,24.0,5.0,6.202535517187923,1,6.4130425180724355,6.338911317975684,6.459164727798556,6.434097983968374
EL150800460485,7C(40%)-3.6C,616,7.0,40.0,3.6,6.423246963533519,3,6.43346810740202,6.417204876852924,6.48845121889408,6.425416537351683
EL150800460486,3.6C(80%)-3.6C,2160,3.6,80.0,3.6,7.67786350067821,2,6.381847721695436,6.50902454181836,6.296019286713914,6.31568042293633
EL150800460498,6C(31%)-4.25C,462,6.0,31.0,4.25,6.135564891081739,2,6.390973201871645,6.321664100253896,6.4329423532909775,6.422593696071399
EL150800460501,4.65C(69%)-6C,527,4.65,69.0,6.0,6.267200548541362,2,6.278973187328919,6.237982648488985,6.186629006984978,6.392697862572855
EL150800460506,6C(50%)-3.6C,704,6.0,50.0,3.6,6.556778356158042,3,6.467368364104061,6.476317667551231,6.474874628973211,6.446957582940492
EL150800460507,6C(30%)-3.6C,860,6.0,30.0,3.6,6.756932389247553,3,6.384918122953342,6.358092086154618,6.474874628973211,6.359587119583477
EL150800460511,5.6C(38%)-4.25C,478,5.6,38.0,4.25,6.169610732491456,1,6.464669060138984,6.43564620526458,6.486483350728315,6.470370240963456
EL150800460513,5.6C(65%)-3C,429,5.6,65.0,3.0,6.061456918928017,4,6.628459291818163,6.7057823714794536,6.624441579829888,6.5333179848194005
EL150800460518,1C(4%)-6C,300,1.0,4.0,6.0,5.703782474656201,1,6.335982467733363,6.204719663622975,6.4157809257894325,6.370365946365719
EL150800460522,5.4C(50%)-3.6C,857,5.4,50.0,3.6,6.75343791859778,2,6.432720411461585,6.434740839937703,6.4377217534585265,6.415423649195492
EL150800460525,6C(50%)-3C,742,6.0,50.0,3.0,6.60934924316738,2,6.5074536907020475,6.495691973930986,6.53296842203922,6.477646608182414
EL150800460602,2C(2%)-5C,438,2.0,2.0,5.0,6.082218910376446,5,6.176156102327466,6.09650509775864,6.376184227626651,6.011927918115914
EL150800460603,4.65C(19%)-4.85C,489,4.65,19.0,4.85,6.192362489474872,3,6.253752028250745,6.187342948089142,6.366551088633395,6.281638713516024
EL150800460604,4.9C(69%)-4.25C,498,4.9,69.0,4.25,6.210600077024653,5,6.578663351970814,6.624761850369979,6.469370193893834,6.638846706450849
EL150800460608,5.2C(37%)-4.5C,492,5.2,37.0,4.5,6.198478716492308,1,6.45446637345314,6.417733705578947,6.477377143085062,6.465558012858613
EL150800460611,4.8C(80%)-4.8C,461,4.8,80.0,4.8,6.133398042996649,1,6.5269315412902245,6.569010029579319,6.466758981532541,6.548088075475981
EL150800460613,6C(4%)-4.75C,487,6.0,4.0,4.75,6.18826412308259,1,6.386903655917334,6.274737894672952,6.47291024973255,6.405705646902905
EL150800460614,4.9C(27%)-4.75C,468,4.9,27.0,4.75,6.148468295917647,1,6.42738213394885,6.364641524612589,6.468657544966037,6.443587110207698
EL150800460615,6C(40%)-3C,709,6.0,40.0,3.0,6.5638555265321274,4,6.513464724885064,6.543712322715979,6.619800543481685,6.41918437715918
EL150800460618,7C(40%)-3C,702,7.0,40.0,3.0,6.553933404025811,2,6.54984570026774,6.470930739970767,6.611692014675116,6.552376322926749
