method_id,fold,train_cells,test_cells,train_policy_groups,test_policy_groups,selected_parameter_index,selected_params_json,inner_rmse_log,method_name
P1_ridge,1,32,9,32,8,5,"{""alpha"": 30.0}",0.37502817082885465,P1 主效应 Ridge
P1_ridge,2,33,8,32,8,4,"{""alpha"": 10.0}",0.2607729629318006,P1 主效应 Ridge
P1_ridge,3,33,8,32,8,5,"{""alpha"": 30.0}",0.37973024884171525,P1 主效应 Ridge
P1_ridge,4,33,8,32,8,5,"{""alpha"": 30.0}",0.34830624737516785,P1 主效应 Ridge
P1_ridge,5,33,8,32,8,4,"{""alpha"": 10.0}",0.36140726087336916,P1 主效应 Ridge
P2_elasticnet,1,32,9,32,8,20,"{""alpha"": 1.0, ""l1_ratio"": 0.05}",0.3775178068951036,P2 ElasticNet
P2_elasticnet,2,33,8,32,8,16,"{""alpha"": 0.3, ""l1_ratio"": 0.05}",0.26337393247270996,P2 ElasticNet
P2_elasticnet,3,33,8,32,8,16,"{""alpha"": 0.3, ""l1_ratio"": 0.05}",0.38534621078989373,P2 ElasticNet
P2_elasticnet,4,33,8,32,8,16,"{""alpha"": 0.3, ""l1_ratio"": 0.05}",0.35061858397109225,P2 ElasticNet
P2_elasticnet,5,33,8,32,8,16,"{""alpha"": 0.3, ""l1_ratio"": 0.05}",0.3609155787011014,P2 ElasticNet
P3_additive_gam,1,32,9,32,8,7,"{""alpha"": 0.03, ""n_knots"": 4}",0.3189003908639922,P3 低自由度加性样条 GAM
P3_additive_gam,2,33,8,32,8,6,"{""alpha"": 30.0, ""n_knots"": 3}",0.2800024193934595,P3 低自由度加性样条 GAM
P3_additive_gam,3,33,8,32,8,13,"{""alpha"": 30.0, ""n_knots"": 4}",0.3830620017555789,P3 低自由度加性样条 GAM
P3_additive_gam,4,33,8,32,8,8,"{""alpha"": 0.1, ""n_knots"": 4}",0.3006516199487649,P3 低自由度加性样条 GAM
P3_additive_gam,5,33,8,32,8,8,"{""alpha"": 0.1, ""n_knots"": 4}",0.3436517764551168,P3 低自由度加性样条 GAM
C1_restricted_boosting,1,32,9,32,8,4,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 8}",0.36760689560795246,C1 严格受限提升树（挑战者）
C1_restricted_boosting,2,33,8,32,8,4,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 8}",0.28195633393266956,C1 严格受限提升树（挑战者）
C1_restricted_boosting,3,33,8,32,8,4,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 8}",0.35691016740611164,C1 严格受限提升树（挑战者）
C1_restricted_boosting,4,33,8,32,8,5,"{""l2_regularization"": 10.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 8}",0.3539351776876345,C1 严格受限提升树（挑战者）
C1_restricted_boosting,5,33,8,32,8,4,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 8}",0.33072514406945686,C1 严格受限提升树（挑战者）
