replicate,method_id,rmse_log,mae_log,rmse_cycle,mae_cycle,overprediction_rate,mean_positive_log_error,mean_positive_cycle_error
1,P1_ridge,0.3410981310445839,0.26059905980006554,307.1184198619676,190.6347178926827,0.4878048780487805,0.11643475416357986,68.14323050858813
1,P2_elasticnet,0.3497097763750138,0.27007889944001245,310.89566228750914,196.25534499159767,0.4146341463414634,0.1226156997132703,72.22923776069207
1,P3_additive_gam,0.33458925554207153,0.23374636149798456,305.9819073041227,175.3467828002869,0.34146341463414637,0.08336036292123726,51.588559913140415
1,C1_restricted_boosting,0.32029866117082695,0.2210652717412834,287.55847294475996,167.3231564033113,0.5121951219512195,0.10052373473202984,66.07060239879053
2,P1_ridge,0.4244438853679611,0.30751171561779117,414.44589765115353,240.72862109338837,0.6829268292682927,0.16642104782520883,98.15067835258009
2,P2_elasticnet,0.43293206148010716,0.31420050899850965,418.0001774401801,245.40564601300818,0.6097560975609756,0.17294469496327836,103.29168381106433
2,P3_additive_gam,0.41056339749556653,0.2677485187520092,405.20289835319034,213.53823548062877,0.5121951219512195,0.14361080738701468,87.57179449080851
2,C1_restricted_boosting,0.3764797032701548,0.24459908315396608,378.3617510120373,203.48934453067892,0.5121951219512195,0.12542155258647095,79.30524115786417
3,P1_ridge,0.3833890989900659,0.2881731311620227,338.00077007821943,210.08261978667437,0.6341463414634146,0.16881935166030065,99.87218981714524
3,P2_elasticnet,0.389371841567073,0.2847125611198933,341.2375580846755,208.32769312036731,0.5853658536585366,0.16873144932020587,101.19322312938708
3,P3_additive_gam,0.3865213065056954,0.2693489304879065,342.28712893200924,201.27823307090853,0.6341463414634146,0.16066100859131174,100.46251832182014
3,C1_restricted_boosting,0.3769655312948286,0.2860953973505737,327.7304385842821,211.50073671372073,0.5121951219512195,0.1540661346365872,99.97069827620643
4,P1_ridge,0.4349605166969146,0.3007968612531739,428.7501535699218,237.29611970413816,0.575,0.13878223377045942,76.26855949380301
4,P2_elasticnet,0.44838868329210047,0.3162798934224641,434.04567581567926,247.10166642954195,0.55,0.15095748945647855,84.36013056717869
4,P3_additive_gam,0.4055654935345182,0.2586844821908868,417.64299530326866,214.2585965242867,0.475,0.09492260324426197,54.58584576883858
4,C1_restricted_boosting,0.3639896541117202,0.22478885654702419,379.8113090308047,191.5027994154249,0.375,0.09567734707879846,57.474821526744805
5,P1_ridge,0.38138413285528516,0.25166221973667896,384.95499733290137,199.07670254685146,0.5853658536585366,0.11548040047385856,66.40595200795728
5,P2_elasticnet,0.3919314893812998,0.258027030604729,389.655971491897,202.86423222557468,0.5365853658536586,0.12426833346007793,72.54849985976219
5,P3_additive_gam,0.3873187935305712,0.24474541939310182,389.43461018879054,199.58440898885834,0.4634146341463415,0.11865950786592012,75.37931488044713
5,C1_restricted_boosting,0.3486354212373789,0.22205085286195872,357.639103257963,183.7753224629255,0.4146341463414634,0.10620042848559551,68.63685424747071
6,P1_ridge,0.40638110986954556,0.27008711752151104,410.0659430465726,218.08419468334972,0.6,0.1099424527902441,60.18176295096591
6,P2_elasticnet,0.41388899251322864,0.2750279990441487,411.4910303871642,219.98769547435927,0.575,0.11653928805687566,63.9628076427838
6,P3_additive_gam,0.37347918247518835,0.21913692420352843,397.91103583330556,188.815070746248,0.275,0.04789725800659914,28.07798431607238
6,C1_restricted_boosting,0.35243113205495774,0.22698851539177065,367.6059376815092,188.23526948663584,0.525,0.07880331617896352,44.90708126730245
7,P1_ridge,0.3759213762397357,0.27209180910406106,350.9275514680659,208.03120824315502,0.575,0.13652263335998063,80.58829234628317
7,P2_elasticnet,0.3782106978731692,0.2705553305290607,350.61368903496594,205.92928867629,0.525,0.13555142967116324,79.62697240464897
7,P3_additive_gam,0.3278231855851081,0.21004309295074042,332.555545020129,169.9448225858941,0.375,0.046763852115375815,26.7093701155065
7,C1_restricted_boosting,0.2768486569941763,0.1695469187614568,290.1781951083466,140.14582533355207,0.5,0.057297048535158754,32.51913698594061
8,P1_ridge,0.2861193574279555,0.21657281144097354,187.57068643335649,142.10864806323454,0.47619047619047616,0.12837187250820217,75.2552401645005
8,P2_elasticnet,0.302671125905854,0.22493053198926755,198.71325221054056,147.9303586925922,0.4523809523809524,0.13501880082605955,80.87219951505443
8,P3_additive_gam,0.32645972310810367,0.23768245048305067,222.81648097118205,160.62657214432213,0.5,0.15023504962909176,96.48365571157518
8,C1_restricted_boosting,0.31186182077717434,0.20970041062673916,211.55709815053933,139.2167477654947,0.4523809523809524,0.12040871538941401,77.60308709072459
9,P1_ridge,0.32722634812809015,0.22305478551153946,287.0791707345137,153.20732386704782,0.5952380952380952,0.13639070917583593,73.78746962790453
