barcode,policy_table9,k,future_point_count,soh_mse,soh_rmse,soh_mae,confirmation_role
EL150800453240,5.4C(60%)-3C,5,685,0.01170911110512888,0.1082086461662324,0.07105321510049521,Primary_restricted_confirmation
EL150800460436,6C(50%)-3C,5,751,0.000574866580354685,0.023976375463248923,0.014737108580018844,Primary_restricted_confirmation
EL150800460449,4C(4%)-4.85C,5,479,0.0006865106941487548,0.026201349090242566,0.014184937963943586,Primary_restricted_confirmation
EL150800460451,3.6C(9%)-5C,5,555,0.0019487650478830594,0.04414481903783341,0.027418441734118722,Primary_restricted_confirmation
EL150800460468,5.4C(40%)-3.6C,5,1048,0.002972952390181782,0.054524786933850385,0.036812093583403774,Primary_restricted_confirmation
EL150800460473,6C(20%)-4.5C,5,460,0.0005640708301703658,0.023750175371360226,0.012833504889006054,Primary_restricted_confirmation
EL150800460474,6C(40%)-4C,5,451,0.0006416428779324712,0.025330670696459483,0.010159752978365444,Primary_restricted_confirmation
EL150800460477,5.4C(70%)-3C,5,1008,0.0014380958826783823,0.037922234674111474,0.023664374163415196,Primary_restricted_confirmation
EL150800460480,4.4C(47%)-5.5C,5,481,0.00036976458551498976,0.019229263779848405,0.01262668690734952,Primary_restricted_confirmation
EL150800460481,6C(40%)-3.6C,5,870,0.001218506421694857,0.03490711133415163,0.021166026020560728,Primary_restricted_confirmation
EL150800460492,5.2C(66%)-3.5C,5,493,0.0001105153505106489,0.01051262814479086,0.009163721908606582,Primary_restricted_confirmation
EL150800460510,4C(31%)-5C,5,452,0.00228693179681081,0.04782187571405799,0.03691733935569513,Primary_restricted_confirmation
EL150800460514,3.6C(80%)-3.6C,5,1846,0.0025571742515616037,0.050568510474025274,0.0332078255525913,Primary_restricted_confirmation
EL150800460526,5.6C(5%)-4.75C,5,493,0.00012367605859129062,0.011120973814881979,0.008085828299593622,Primary_restricted_confirmation
EL150800460527,5.2C(10%)-4.75C,5,475,0.00021643884210061667,0.014711860592753612,0.010243463206578056,Primary_restricted_confirmation
EL150800460528,5.6C(25%)-4.5C,5,529,0.007067168051492798,0.08406645021346386,0.0627315530467247,Primary_restricted_confirmation
EL150800460596,4.8C(80%)-4.8C,5,465,0.00011907442307641253,0.010912122757576205,0.00856195137575039,Primary_restricted_confirmation
EL150800460597,4.8C(80%)-4.8C,5,489,1.4126391717769548e-05,0.0037585092414106885,0.0032009603232175813,Primary_restricted_confirmation
EL150800460599,6C(60%)-3C,5,707,0.004756150671382235,0.06896485098499261,0.053037241704972225,Primary_restricted_confirmation
EL150800460601,6C(60%)-3C,5,642,0.0015684525975884084,0.03960369424167912,0.021230096733068735,Primary_restricted_confirmation
EL150800460605,2C(10%)-6C,5,142,0.006947080911036499,0.08334915063176408,0.06810499360416275,Primary_restricted_confirmation
EL150800460610,4.9C(61%)-4.5C,5,503,0.00010827516907637416,0.010405535501663244,0.006482136540367032,Primary_restricted_confirmation
EL150800460617,5.4C(80%)-5.4C,5,848,0.0007598784607412557,0.02756589306990172,0.01495317210314165,Primary_restricted_confirmation
EL150800460622,6C(50%)-3.6C,5,697,2.4695185894873764e-05,0.004969425107079668,0.004356446987389198,Primary_restricted_confirmation
EL150800460623,3.6C(80%)-3.6C,5,2231,0.004233210960458723,0.0650631305768384,0.04432864384956011,Primary_restricted_confirmation
EL150800460631,5.2C(50%)-4.25C,5,513,0.0001449755598482205,0.01204057971395981,0.010431178636146872,Primary_restricted_confirmation
EL150800460635,3.6C(2%)-4.85C,5,474,0.0002700098515958536,0.016431976496935893,0.009115697555225396,Primary_restricted_confirmation
