barcode,policy_table9,k,outer_fold,future_point_count,soh_rmse,soh_mae,soh_mse
EL150800453113,5.4C(50%)-3C,5,1,713,0.048127155251262044,0.03325450636088826,0.0023162230725790795
EL150800460478,4.4C(24%)-5C,5,1,488,0.02464686661138626,0.014883622398069517,0.0006074680337594669
EL150800460511,5.6C(38%)-4.25C,5,1,472,0.013013020960684655,0.009787857496082639,0.0001693387145232182
EL150800460518,1C(4%)-6C,5,1,294,0.07819966149913268,0.06215961980294531,0.006115187058578935
EL150800460608,5.2C(37%)-4.5C,5,1,486,0.027791427466722533,0.015026449198323936,0.0007723634406380997
EL150800460611,4.8C(80%)-4.8C,5,1,455,0.037376006644023185,0.023381210770865156,0.0013969658726540653
EL150800460613,6C(4%)-4.75C,5,1,481,0.01147802757804607,0.006925463021341214,0.0001317451170823861
EL150800460614,4.9C(27%)-4.75C,5,1,462,0.026819053656106435,0.015563535320605856,0.0007192616390091159
EL150800465027,4.8C(80%)-4.8C,5,1,864,0.02558400558300784,0.015318385479125791,0.0006545413416713763
EL150800460486,3.6C(80%)-3.6C,5,2,2154,0.08690426619030206,0.06765529524216156,0.007552351482074879
EL150800460498,6C(31%)-4.25C,5,2,456,0.006717806270958034,0.006365742278265849,4.512892109412309e-05
EL150800460501,4.65C(69%)-6C,5,2,521,0.015521459050306382,0.008794652360663305,0.00024091569105033788
EL150800460522,5.4C(50%)-3.6C,5,2,851,0.07954697236515035,0.058523535318267275,0.006327720812461994
EL150800460525,6C(50%)-3C,5,2,736,0.02790264169820492,0.019050895813867604,0.0007785574137384039
EL150800460618,7C(40%)-3C,5,2,696,0.02455644322305609,0.012996906159719566,0.0006030189037671774
EL150800460659,5.4C(80%)-5.4C,5,2,864,0.026152079514342647,0.01649730496108461,0.0006839312629245003
EL150800464977,4C(80%)-4C,5,2,1428,0.07208284494689587,0.05054404018340804,0.005195936535638232
EL150800460485,7C(40%)-3.6C,5,3,610,0.011600944172491775,0.006928365070085009,0.00013458190569327086
EL150800460506,6C(50%)-3.6C,5,3,698,0.047017644913905095,0.026384343155667515,0.0022106589332500657
EL150800460507,6C(30%)-3.6C,5,3,854,0.006147886079255352,0.0034475903195852835,3.779650324350175e-05
EL150800460603,4.65C(19%)-4.85C,5,3,483,0.023446425731833035,0.01692654089315513,0.0005497348795983623
EL150800460630,5.4C(70%)-3C,5,3,1011,0.025544414849466797,0.015038051950756087,0.0006525171300016597
EL150800460634,3.6C(30%)-6C,5,3,505,0.05883825504143383,0.05069989831310737,0.0034619402563208133
EL150800463208,4C(40%)-6C,5,3,477,0.04539973973749428,0.034489597875559,0.0020611363682322176
EL150800463882,5.4C(40%)-3.6C,5,3,782,0.02452511709027931,0.012693298891230265,0.0006014813682919103
EL150800460466,4C(13%)-5C,5,4,471,0.019136944370605036,0.014180424372605102,0.0003662226398436318
EL150800460513,5.6C(65%)-3C,5,4,423,0.010550261113038892,0.007200237207270791,0.00011130800955330065
EL150800460615,6C(40%)-3C,5,4,703,0.020608673161359142,0.01346178099633531,0.00042471740947172467
EL150800460628,5.2C(71%)-3C,5,4,457,0.02787025714510259,0.015412820766020798,0.0007767512333341419
EL150800460655,3.6C(22%)-5.5C,5,4,438,0.05033673338584303,0.03703068290248221,0.002533786727957445
EL150800463229,7C(30%)-3.6C,5,4,960,0.02308054427813565,0.013497852817790241,0.0005327115241749804
EL150800464881,5.4C(60%)-3C,5,4,782,0.050756002424949286,0.032537877610291845,0.002576171782161458
EL150800464883,4.4C(80%)-4.4C,5,4,1068,0.06604964175130883,0.044959112005795276,0.004362555175476238
EL150800440551,4.4C(55%)-6C,5,5,455,0.037448505912793584,0.026184882010713794,0.0014023905951005362
EL150800453773,6C(60%)-3C,5,5,611,0.01622903518363275,0.008591014420732587,0.00026338158299158966
EL150800460602,2C(2%)-5C,5,5,432,0.00972096857613523,0.006369563714161709,9.449723005820858e-05
EL150800460604,4.9C(69%)-4.25C,5,5,492,0.02169059633381609,0.017800903157527442,0.00047048196931655603
EL150800460627,5.6C(58%)-3.5C,5,5,453,0.01472570967016461,0.010538156773838823,0.0002168465252899795
EL150800460640,6C(40%)-3.6C,5,5,725,0.019455839125314706,0.012988740779618538,0.00037852967607012654
EL150800460641,5.2C(58%)-4C,5,5,514,0.016900553437321164,0.014428232259165542,0.0002856287064877482
EL150800463871,5.4C(60%)-3.6C,5,5,553,0.030264522203342553,0.024460745770882652,0.0009159413041966145
EL150800453113,5.4C(50%)-3C,10,1,708,0.052211246735142526,0.03545837275930252,0.002726014285637931
EL150800460478,4.4C(24%)-5C,10,1,483,0.054118852546957745,0.03660786839771051,0.0029288502009993545
EL150800460511,5.6C(38%)-4.25C,10,1,467,0.01869402023236414,0.011272918658329306,0.0003494663924480398
EL150800460518,1C(4%)-6C,10,1,289,0.07730953378294157,0.06237924740828193,0.005976764013735784
EL150800460608,5.2C(37%)-4.5C,10,1,481,0.02371984038103105,0.012628081516599233,0.0005626308277015911
EL150800460611,4.8C(80%)-4.8C,10,1,450,0.03427259019412758,0.022021880808021102,0.0011746104386146099
EL150800460613,6C(4%)-4.75C,10,1,476,0.031031483902055575,0.017413345010349603,0.0009629529931635343
EL150800460614,4.9C(27%)-4.75C,10,1,457,0.014680226833788728,0.00903289577572346,0.00021550905989149062
EL150800465027,4.8C(80%)-4.8C,10,1,859,0.030036806224709153,0.017781053464787252,0.0009022097281807265
EL150800460486,3.6C(80%)-3.6C,10,2,2149,0.08144454768863768,0.061278163695028684,0.006633214348206777
EL150800460498,6C(31%)-4.25C,10,2,451,0.014308642354161573,0.008468834991548584,0.00020473724601930646
EL150800460501,4.65C(69%)-6C,10,2,516,0.01110810459854279,0.007268510155419995,0.00012338998777216748
EL150800460522,5.4C(50%)-3.6C,10,2,846,0.07927360992236782,0.057963821694127796,0.006284305230123734
EL150800460525,6C(50%)-3C,10,2,731,0.03911006231451281,0.025496257219756794,0.0015295969742450755
EL150800460618,7C(40%)-3C,10,2,691,0.02229060682778248,0.011633068676942984,0.0004968711527507829
EL150800460659,5.4C(80%)-5.4C,10,2,859,0.019631993454154027,0.012269530943243465,0.0003854151669839466
EL150800464977,4C(80%)-4C,10,2,1423,0.056828936468915875,0.036898480637623826,0.003229528020188077
EL150800460485,7C(40%)-3.6C,10,3,605,0.0209799400842241,0.012667907927363393,0.00044015788593763314
EL150800460506,6C(50%)-3.6C,10,3,693,0.04658299244872504,0.02647297578735734,0.0021699751854779743
EL150800460507,6C(30%)-3.6C,10,3,849,0.01713803311955728,0.009950596454159463,0.00029371217920704223
EL150800460603,4.65C(19%)-4.85C,10,3,478,0.015532001661590532,0.012336149147484416,0.00024124307561565106
EL150800460630,5.4C(70%)-3C,10,3,1006,0.028827836575292896,0.017445236941564725,0.0008310441616117948
EL150800460634,3.6C(30%)-6C,10,3,500,0.0528038359673645,0.04686111933887123,0.0027882450928683367
EL150800463208,4C(40%)-6C,10,3,472,0.02642114397474466,0.022825064831564715,0.000698076848934186
EL150800463882,5.4C(40%)-3.6C,10,3,777,0.0339825324262966,0.017621016745320597,0.0011548125101042998
EL150800460466,4C(13%)-5C,10,4,466,0.023036540017313225,0.017120164485117915,0.0005306821759692735
EL150800460513,5.6C(65%)-3C,10,4,418,0.024461669777937387,0.012867444785275222,0.0005983732883248553
EL150800460615,6C(40%)-3C,10,4,698,0.00979102610122029,0.006778550573769261,9.586419211477701e-05
EL150800460628,5.2C(71%)-3C,10,4,452,0.021413002937098087,0.011902463803330493,0.00045851669478417123
EL150800460655,3.6C(22%)-5.5C,10,4,433,0.039494376239110646,0.030335368279089833,0.0015598057545164275
EL150800463229,7C(30%)-3.6C,10,4,955,0.004320500061498185,0.0032022807228107753,1.8666720781405817e-05
EL150800464881,5.4C(60%)-3C,10,4,777,0.04484775404677056,0.027789163708060918,0.002011321043039625
EL150800464883,4.4C(80%)-4.4C,10,4,1063,0.05851878310696704,0.03770067723967208,0.0034244479763202505
EL150800440551,4.4C(55%)-6C,10,5,450,0.06554533147138722,0.04991640778633944,0.004296190477694024
EL150800453773,6C(60%)-3C,10,5,606,0.011035606455890676,0.006002654121393377,0.00012178460984929595
EL150800460602,2C(2%)-5C,10,5,427,0.006678378747411629,0.004552846475759202,4.460074269387931e-05
EL150800460604,4.9C(69%)-4.25C,10,5,487,0.012651167642462402,0.008970189839670732,0.0001600520427176877
EL150800460627,5.6C(58%)-3.5C,10,5,448,0.03516805571605118,0.01725443125634298,0.0012367921428472802
EL150800460640,6C(40%)-3.6C,10,5,720,0.020219257602529163,0.01307820019045217,0.0004088183779974334
EL150800460641,5.2C(58%)-4C,10,5,509,0.010773529939686067,0.008227732623809615,0.00011606894736131208
EL150800463871,5.4C(60%)-3.6C,10,5,548,0.03332159896451319,0.02694847165318409,0.0011103289575518467
EL150800453113,5.4C(50%)-3C,20,1,698,0.056277253318242335,0.038568717530612744,0.003167129241045618
EL150800460478,4.4C(24%)-5C,20,1,473,0.019247350048310904,0.012293078379871277,0.00037046048388221373
EL150800460511,5.6C(38%)-4.25C,20,1,457,0.011789414781321676,0.008105286760893756,0.00013899030088604603
EL150800460518,1C(4%)-6C,20,1,279,0.07814885255215341,0.06378909576565875,0.006107243155218214
EL150800460608,5.2C(37%)-4.5C,20,1,471,0.030263570489515057,0.020366356637201485,0.0009158836987738467
EL150800460611,4.8C(80%)-4.8C,20,1,440,0.04262430357333902,0.027810808215376535,0.0018168312551121613
EL150800460613,6C(4%)-4.75C,20,1,466,0.027215710800881903,0.015559356808113134,0.00074069491439724
EL150800460614,4.9C(27%)-4.75C,20,1,447,0.011940190968845757,0.0075608561126569735,0.00014256816037250576
EL150800465027,4.8C(80%)-4.8C,20,1,849,0.059918259677633,0.04052962211962954,0.003590197842796261
EL150800460486,3.6C(80%)-3.6C,20,2,2139,0.07459252194169401,0.05370850543526464,0.005564044329622103
EL150800460498,6C(31%)-4.25C,20,2,441,0.014600164572027171,0.008082297091996796,0.00021316480553027736
EL150800460501,4.65C(69%)-6C,20,2,506,0.005882524277049441,0.005086120128360444,3.460409187007605e-05
EL150800460522,5.4C(50%)-3.6C,20,2,836,0.0774549954882173,0.05611555295622162,0.005999276326079762
EL150800460525,6C(50%)-3C,20,2,721,0.011709936190003115,0.008997001689972502,0.00013712260557394466
EL150800460618,7C(40%)-3C,20,2,681,0.024153060317473347,0.012513929815149077,0.0005833703226995057
EL150800460659,5.4C(80%)-5.4C,20,2,849,0.02763295640545795,0.017547091899809363,0.0007635802797059394
EL150800464977,4C(80%)-4C,20,2,1413,0.07105416396106409,0.04900274246180973,0.005048694216205778
EL150800460485,7C(40%)-3.6C,20,3,595,0.01725440524581135,0.010376905339145419,0.0002977145003866822
EL150800460506,6C(50%)-3.6C,20,3,683,0.04669732188441585,0.02680254777794945,0.0021806398711767434
EL150800460507,6C(30%)-3.6C,20,3,839,0.024303709925718592,0.014429502880499125,0.0005906703161534724
EL150800460603,4.65C(19%)-4.85C,20,3,468,0.008833797511882135,0.007494508387315338,7.803597848093501e-05
EL150800460630,5.4C(70%)-3C,20,3,996,0.02547228489428749,0.015892107612211326,0.0006488372977357466
EL150800460634,3.6C(30%)-6C,20,3,490,0.04962407195183681,0.044646111779201046,0.0024625485170810765
EL150800463208,4C(40%)-6C,20,3,462,0.03624256925392687,0.029478347047124886,0.001313523826125685
EL150800463882,5.4C(40%)-3.6C,20,3,767,0.03366156353073503,0.01812351384995508,0.0011331008593337107
EL150800460466,4C(13%)-5C,20,4,456,0.01702356122046124,0.013121715996604862,0.0002898016366267917
EL150800460513,5.6C(65%)-3C,20,4,408,0.012994740977389316,0.007038087501095773,0.00016886329306944103
EL150800460615,6C(40%)-3C,20,4,688,0.004833794330982743,0.0033825907663932375,2.3365567634240905e-05
EL150800460628,5.2C(71%)-3C,20,4,442,0.01190791212317536,0.006768857852994443,0.0001417983711332667
EL150800460655,3.6C(22%)-5.5C,20,4,423,0.043974182544851845,0.03372364284725614,0.001933728730487953
