model_id,model_name,barcode,policy_table9,k,outer_fold,future_point_count,soh_mse,soh_rmse,soh_mae
M1,策略参数 Ridge（设计前基线）,EL150800453113,5.4C(50%)-3C,5,1,713,0.00035754978528540856,0.018908986892094682,0.014618781073275546
M1,策略参数 Ridge（设计前基线）,EL150800460478,4.4C(24%)-5C,5,1,488,0.0010449679821497768,0.032325964520022864,0.019067170686490432
M1,策略参数 Ridge（设计前基线）,EL150800460511,5.6C(38%)-4.25C,5,1,472,0.0011971236640968305,0.03459947491070971,0.01823397429763754
M1,策略参数 Ridge（设计前基线）,EL150800460518,1C(4%)-6C,5,1,294,0.00542547267991436,0.07365780800373006,0.05851775860826467
M1,策略参数 Ridge（设计前基线）,EL150800460608,5.2C(37%)-4.5C,5,1,486,0.0011766985827004386,0.03430304042939107,0.018210548815787087
M1,策略参数 Ridge（设计前基线）,EL150800460611,4.8C(80%)-4.8C,5,1,455,0.0018134739389011134,0.04258490271095043,0.02674235618286721
M1,策略参数 Ridge（设计前基线）,EL150800460613,6C(4%)-4.75C,5,1,481,0.000894876618169651,0.029914488432357503,0.01671977203895228
M1,策略参数 Ridge（设计前基线）,EL150800460614,4.9C(27%)-4.75C,5,1,462,0.0012739177612006909,0.03569198455116626,0.020332522337154876
M1,策略参数 Ridge（设计前基线）,EL150800465027,4.8C(80%)-4.8C,5,1,864,0.002797856091428782,0.052894764310173294,0.03417527277648728
M1,策略参数 Ridge（设计前基线）,EL150800460486,3.6C(80%)-3.6C,5,2,2154,0.012423916230674998,0.11146262257221028,0.09594236579364739
M1,策略参数 Ridge（设计前基线）,EL150800460498,6C(31%)-4.25C,5,2,456,0.0012184581842256093,0.03490642038688025,0.018192503618651074
M1,策略参数 Ridge（设计前基线）,EL150800460501,4.65C(69%)-6C,5,2,521,4.6445828155630166e-05,0.006815117618620398,0.006043207675718821
M1,策略参数 Ridge（设计前基线）,EL150800460522,5.4C(50%)-3.6C,5,2,851,0.004130784119317088,0.06427117642705078,0.045335031249059965
M1,策略参数 Ridge（设计前基线）,EL150800460525,6C(50%)-3C,5,2,736,0.0009458228114488335,0.0307542324152113,0.020825988317262498
M1,策略参数 Ridge（设计前基线）,EL150800460618,7C(40%)-3C,5,2,696,2.2764742113301188e-05,0.004771241150193646,0.0040744692635167855
M1,策略参数 Ridge（设计前基线）,EL150800460659,5.4C(80%)-5.4C,5,2,864,0.005227168292721137,0.07229915831267428,0.05037228572762203
M1,策略参数 Ridge（设计前基线）,EL150800464977,4C(80%)-4C,5,2,1428,0.010809147519190421,0.10396705016105065,0.08322024972028307
M1,策略参数 Ridge（设计前基线）,EL150800460485,7C(40%)-3.6C,5,3,610,9.07717094079947e-05,0.009527418821905264,0.005536286401158309
M1,策略参数 Ridge（设计前基线）,EL150800460506,6C(50%)-3.6C,5,3,698,0.00045783917591751025,0.0213971768211956,0.0137544826740989
