model_id,model_name,k,outer_fold,alpha,train_cells,train_policy_groups,p3_alpha
M1,策略参数 Ridge（设计前基线）,5,1,100.0,32,32,
M1,策略参数 Ridge（设计前基线）,5,2,10.0,33,32,
M1,策略参数 Ridge（设计前基线）,5,3,30.0,33,32,
M1,策略参数 Ridge（设计前基线）,5,4,30.0,33,32,
M1,策略参数 Ridge（设计前基线）,5,5,30.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,5,1,3.0,32,32,
M2,早期运行特征 Ridge（运行后基线）,5,2,10.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,5,3,1.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,5,4,1.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,5,5,3.0,33,32,
M3,策略＋早期特征联合 Ridge,5,1,3.0,32,32,
M3,策略＋早期特征联合 Ridge,5,2,10.0,33,32,
M3,策略＋早期特征联合 Ridge,5,3,1.0,33,32,
M3,策略＋早期特征联合 Ridge,5,4,3.0,33,32,
M3,策略＋早期特征联合 Ridge,5,5,10.0,33,32,
M4,P3 策略先验＋早期残差 Ridge,5,1,10.0,32,32,0.03
M4,P3 策略先验＋早期残差 Ridge,5,2,100.0,33,32,0.03
M4,P3 策略先验＋早期残差 Ridge,5,3,30.0,33,32,0.03
M4,P3 策略先验＋早期残差 Ridge,5,4,30.0,33,32,0.03
M4,P3 策略先验＋早期残差 Ridge,5,5,100.0,33,32,0.03
M1,策略参数 Ridge（设计前基线）,10,1,100.0,32,32,
M1,策略参数 Ridge（设计前基线）,10,2,10.0,33,32,
M1,策略参数 Ridge（设计前基线）,10,3,30.0,33,32,
M1,策略参数 Ridge（设计前基线）,10,4,30.0,33,32,
M1,策略参数 Ridge（设计前基线）,10,5,30.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,10,1,1.0,32,32,
M2,早期运行特征 Ridge（运行后基线）,10,2,10.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,10,3,1.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,10,4,10.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,10,5,3.0,33,32,
M3,策略＋早期特征联合 Ridge,10,1,1.0,32,32,
M3,策略＋早期特征联合 Ridge,10,2,10.0,33,32,
M3,策略＋早期特征联合 Ridge,10,3,1.0,33,32,
M3,策略＋早期特征联合 Ridge,10,4,10.0,33,32,
M3,策略＋早期特征联合 Ridge,10,5,1.0,33,32,
M4,P3 策略先验＋早期残差 Ridge,10,1,10.0,32,32,0.03
M4,P3 策略先验＋早期残差 Ridge,10,2,100.0,33,32,0.03
M4,P3 策略先验＋早期残差 Ridge,10,3,30.0,33,32,0.03
M4,P3 策略先验＋早期残差 Ridge,10,4,10.0,33,32,0.03
M4,P3 策略先验＋早期残差 Ridge,10,5,100.0,33,32,0.03
M1,策略参数 Ridge（设计前基线）,20,1,100.0,32,32,
M1,策略参数 Ridge（设计前基线）,20,2,10.0,33,32,
M1,策略参数 Ridge（设计前基线）,20,3,30.0,33,32,
M1,策略参数 Ridge（设计前基线）,20,4,30.0,33,32,
M1,策略参数 Ridge（设计前基线）,20,5,30.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,20,1,0.01,32,32,
M2,早期运行特征 Ridge（运行后基线）,20,2,10.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,20,3,1.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,20,4,3.0,33,32,
M2,早期运行特征 Ridge（运行后基线）,20,5,0.01,33,32,
M3,策略＋早期特征联合 Ridge,20,1,3.0,32,32,
M3,策略＋早期特征联合 Ridge,20,2,10.0,33,32,
M3,策略＋早期特征联合 Ridge,20,3,1.0,33,32,
M3,策略＋早期特征联合 Ridge,20,4,10.0,33,32,
M3,策略＋早期特征联合 Ridge,20,5,3.0,33,32,
M4,P3 策略先验＋早期残差 Ridge,20,1,3.0,32,32,0.03
M4,P3 策略先验＋早期残差 Ridge,20,2,30.0,33,32,0.03
