model_id,model_name,k,rmse_log,mae_log,rmse_cycle,mae_cycle,overprediction_rate,cell_equal_soh_rmse,future_point_pooled_soh_rmse,curve_cells,template_failures,failure_predicted_life_not_after_k,failure_missing_anchor,failure_no_future_observation,failure_template_anchor_denominator
M1,策略参数 Ridge（设计前基线）,5,0.37168935907539924,0.2755652782283463,329.90625947499376,198.7198846897959,0.5609756097560976,0.04695606184994724,0.056968698475498944,41,0,0,0,0,0
M2,早期运行特征 Ridge（运行后基线）,5,0.2793637078300393,0.1907525836486076,250.1314412063925,143.6765461000866,0.5609756097560976,0.03816666660101416,0.04426827063261154,41,0,0,0,0,0
M3,策略＋早期特征联合 Ridge,5,0.26233090355539274,0.18104579228740947,240.39427373966035,137.12756802450505,0.5121951219512195,0.035822440406572585,0.042020073833093474,41,0,0,0,0,0
M4,P3 策略先验＋早期残差 Ridge,5,0.3142469154794508,0.24925518914407316,214.99341744793153,161.5171571128521,0.3902439024390244,0.04664336734931264,0.04799542189953058,41,0,0,0,0,0
M1,策略参数 Ridge（设计前基线）,10,0.37168935907539924,0.2755652782283463,329.90625947499376,198.7198846897959,0.5609756097560976,0.04725172461239453,0.05721303741092785,41,0,0,0,0,0
M2,早期运行特征 Ridge（运行后基线）,10,0.2653396470880255,0.19074117349942285,224.65391142735552,135.62796954699124,0.6097560975609756,0.03809043206449672,0.042621549178648514,41,0,0,0,0,0
M3,策略＋早期特征联合 Ridge,10,0.25940943441578335,0.19193268994314547,225.0565647279527,137.55666871943052,0.5365853658536586,0.03771507074539004,0.042348286548886366,41,0,0,0,0,0
M4,P3 策略先验＋早期残差 Ridge,10,0.29652454374248843,0.24492706221419472,209.23593747801115,160.26195124827615,0.43902439024390244,0.046984668244924414,0.048388130348718555,41,0,0,0,0,0
M1,策略参数 Ridge（设计前基线）,20,0.37168935907539924,0.2755652782283463,329.90625947499376,198.7198846897959,0.5609756097560976,0.04762614281228283,0.05766169316538732,41,0,0,0,0,0
M2,早期运行特征 Ridge（运行后基线）,20,0.3010264861895247,0.2020859287448671,224.91945951737435,140.01555494650938,0.6097560975609756,0.03987062792766346,0.04436882450586582,41,0,0,0,0,0
M3,策略＋早期特征联合 Ridge,20,0.26311895795521695,0.18956996616545815,224.68821737804382,137.95649104409924,0.5365853658536586,0.03726746186675539,0.04251660395723523,41,0,0,0,0,0
M4,P3 策略先验＋早期残差 Ridge,20,0.2974204197289954,0.24081316279236437,190.91413789726326,151.64330100337486,0.4146341463414634,0.0461286245571059,0.045879461116155706,41,0,0,0,0,0
M1,策略参数 Ridge（设计前基线）,50,0.37168935907539924,0.2755652782283463,329.90625947499376,198.7198846897959,0.5609756097560976,0.04828437950548497,0.058829394724922685,41,0,0,0,0,0
M2,早期运行特征 Ridge（运行后基线）,50,0.28380385564888394,0.19945419035709036,223.49522542217179,140.08799988050637,0.5609756097560976,0.037981907355508965,0.04229498366743676,41,0,0,0,0,0
M3,策略＋早期特征联合 Ridge,50,0.29388072730010667,0.20012608026751924,242.82747174881695,146.98664546401125,0.4634146341463415,0.03783346236128214,0.04281257612602741,41,0,0,0,0,0
M4,P3 策略先验＋早期残差 Ridge,50,0.3501443628871543,0.2817411741529715,221.3972625595109,175.16044126231495,0.36585365853658536,0.05086696253207522,0.051185542072533514,41,0,0,0,0,0
M1,策略参数 Ridge（设计前基线）,100,0.37168935907539924,0.2755652782283463,329.90625947499376,198.7198846897959,0.5609756097560976,0.049274687679139464,0.060934565253076806,41,0,0,0,0,0
M2,早期运行特征 Ridge（运行后基线）,100,0.2317370843306235,0.17008424662810068,199.45491050407034,122.16591647847777,0.5121951219512195,0.03475274764775809,0.0390711556796698,41,0,0,0,0,0
M3,策略＋早期特征联合 Ridge,100,0.2501002024805724,0.1842387882248891,205.70891667891487,128.69395007545168,0.5121951219512195,0.0365173446133777,0.04054207667450173,41,0,0,0,0,0
M4,P3 策略先验＋早期残差 Ridge,100,0.30114127485597136,0.2262864419424819,193.0584378579228,145.24507652735838,0.36585365853658536,0.04428120054909097,0.04372806091302585,41,0,0,0,0,0
