model_id,barcode,policy_table9,k,outer_fold,future_point_count,soh_mse,soh_rmse,soh_mae
M3R,EL150800453113,5.4C(50%)-3C,5,1,713,5.038320595036795e-05,0.00709811284429657,0.006450013749784554
M3R,EL150800460478,4.4C(24%)-5C,5,1,488,1.4788071974594915e-05,0.0038455262285667633,0.00303127368095631
M3R,EL150800460511,5.6C(38%)-4.25C,5,1,472,0.0002456087630684244,0.015671910000648433,0.013555983619319874
M3R,EL150800460518,1C(4%)-6C,5,1,294,0.005643956303951776,0.07512626906716303,0.05968237501284539
M3R,EL150800460608,5.2C(37%)-4.5C,5,1,486,9.240658050756424e-05,0.009612834155833765,0.008551142690391436
M3R,EL150800460611,4.8C(80%)-4.8C,5,1,455,0.0018003645471447022,0.042430702882991486,0.026634264247172613
M3R,EL150800460613,6C(4%)-4.75C,5,1,481,0.00033365025058067866,0.018266095657821314,0.011620320642918899
M3R,EL150800460614,4.9C(27%)-4.75C,5,1,462,0.0001744878307918605,0.01320938419427115,0.008394543107016917
M3R,EL150800465027,4.8C(80%)-4.8C,5,1,864,0.00019496165084997413,0.013962866856415058,0.008220872339964604
M3R,EL150800460486,3.6C(80%)-3.6C,5,2,2154,0.006424751085641331,0.08015454500925903,0.060377030123595424
M3R,EL150800460498,6C(31%)-4.25C,5,2,456,4.742226083009892e-05,0.006886382274467409,0.006527217000240733
M3R,EL150800460501,4.65C(69%)-6C,5,2,521,0.00024487201615850903,0.015648387014593836,0.00881869439195593
M3R,EL150800460522,5.4C(50%)-3.6C,5,2,851,0.004188015705995526,0.06471488009720427,0.04569537414055182
M3R,EL150800460525,6C(50%)-3C,5,2,736,0.0003901343005009294,0.019751817650558882,0.014227752450961693
M3R,EL150800460618,7C(40%)-3C,5,2,696,0.0007557476266988103,0.02749086442254609,0.0142968689297449
M3R,EL150800460659,5.4C(80%)-5.4C,5,2,864,0.00012308311362738096,0.011094282925335056,0.007452167089087197
M3R,EL150800464977,4C(80%)-4C,5,2,1428,0.0050778276803342525,0.0712588779053828,0.04983047144144642
M3R,EL150800460485,7C(40%)-3.6C,5,3,610,0.0003708834113435511,0.019258333555724677,0.011043590030672333
M3R,EL150800460506,6C(50%)-3.6C,5,3,698,0.0020768042788654197,0.04557196812587119,0.025269593059045272
M3R,EL150800460507,6C(30%)-3.6C,5,3,854,3.001156658040764e-05,0.0054782813527973935,0.0030307566971397655
M3R,EL150800460603,4.65C(19%)-4.85C,5,3,483,0.0002226392973647941,0.014921102417877644,0.011717931006499276
M3R,EL150800460630,5.4C(70%)-3C,5,3,1011,0.0003469394239534649,0.01862630999294989,0.011217724963170111
M3R,EL150800460634,3.6C(30%)-6C,5,3,505,0.002500852078060818,0.05000852005469486,0.03705010430036096
M3R,EL150800463208,4C(40%)-6C,5,3,477,0.0003616147697695192,0.019016171269988058,0.014569679407337374
M3R,EL150800463882,5.4C(40%)-3.6C,5,3,782,0.00041067197541639185,0.020265043188120568,0.010708140505869096
M3R,EL150800460466,4C(13%)-5C,5,4,471,0.0010462325188244543,0.03234551775477484,0.022587151068932904
M3R,EL150800460513,5.6C(65%)-3C,5,4,423,0.001520027206251301,0.03898752629048554,0.027375132864261294
M3R,EL150800460615,6C(40%)-3C,5,4,703,0.0011960969600422675,0.034584634739176695,0.021975893707569468
M3R,EL150800460628,5.2C(71%)-3C,5,4,457,3.964937392657272e-05,0.006296774882951805,0.003681701506259933
M3R,EL150800460655,3.6C(22%)-5.5C,5,4,438,0.0011370220859130606,0.03371975809392856,0.026445844528282643
