model_id,k,outer_fold,alpha,train_cells,train_policy_groups
M3R,5,1,3.0,32,32
M3R,5,2,10.0,33,32
M3R,5,3,1.0,33,32
M3R,5,4,0.1,33,32
M3R,5,5,0.1,33,32
M3R,10,1,3.0,32,32
M3R,10,2,30.0,33,32
M3R,10,3,1.0,33,32
M3R,10,4,10.0,33,32
M3R,10,5,10.0,33,32
M3R,20,1,10.0,32,32
M3R,20,2,10.0,33,32
M3R,20,3,1.0,33,32
M3R,20,4,10.0,33,32
M3R,20,5,3.0,33,32
M3R,50,1,3.0,32,32
M3R,50,2,30.0,33,32
M3R,50,3,1.0,33,32
M3R,50,4,10.0,33,32
M3R,50,5,10.0,33,32
M3R,100,1,10.0,32,32
M3R,100,2,10.0,33,32
M3R,100,3,1.0,33,32
M3R,100,4,10.0,33,32
M3R,100,5,10.0,33,32
