barcode,dataset_table9,batch_date_table9,cycle_life_table9,policy_table9,C1,Q1_percent,C2,local_fragment_count,local_source_files,local_batch_indices,q2_pred_log_life,q2_source,q3_pred_log_life_k100,q3_source,q3_pred_soh_nom_120,actual_soh_nom_120_audit,tau_0_80_min,evidence_role
EL150800440551,Train,2017-06-30,461,4.4C(55%)-6C,4.4,55.0,6.0,1,data_2.xlsx,20,6.047707837526784,Train_policy_group_OOF,5.567569659312331,Train_policy_group_OOF,0.9350307453626489,0.934885272727,10.0,cross_fitted_development_evidence
EL150800453113,Train,2017-05-12,719,5.4C(50%)-3C,5.4,50.0,3.0,1,data_1.xlsx,16,6.496150469207405,Train_policy_group_OOF,6.493443024323056,Train_policy_group_OOF,0.9697306750229135,0.970087636364,11.555555555555555,cross_fitted_development_evidence
EL150800453240,Prim. Test,2017-05-12,691,5.4C(60%)-3C,5.4,60.0,3.0,1,data_1.xlsx,19,6.365089565138951,Primary_frozen_confirmation,4.39789671405752,Primary_frozen_confirmation,,,10.666666666666668,restricted_confirmation_evidence
EL150800453773,Train,2017-05-12,617,6C(60%)-3C,6.0,60.0,3.0,1,data_1.xlsx,39,6.323766593329444,Train_policy_group_OOF,6.466921900674831,Train_policy_group_OOF,0.976499807934806,0.976511363636,10.000000000000002,cross_fitted_development_evidence
EL150800460436,Prim. Test,2017-05-12,757,6C(50%)-3C,6.0,50.0,3.0,1,data_1.xlsx,34,6.451141730551282,Primary_frozen_confirmation,6.498490983711781,Primary_frozen_confirmation,0.9927480697153236,0.993503363636,11.0,restricted_confirmation_evidence
EL150800460449,Prim. Test,2017-06-30,485,4C(4%)-4.85C,4.0,4.0,4.85,1,data_2.xlsx,15,6.399316134186404,Primary_frozen_confirmation,6.310424129368476,Primary_frozen_confirmation,0.9809658165996628,0.981298545455,10.002061855670105,restricted_confirmation_evidence
EL150800460451,Prim. Test,2017-06-30,561,3.6C(9%)-5C,3.6,9.0,5.0,1,data_2.xlsx,11,6.278961129778934,Primary_frozen_confirmation,5.969794538121397,Primary_frozen_confirmation,0.9683541885139608,0.967304636364,10.020000000000001,restricted_confirmation_evidence
EL150800460466,Train,2017-06-30,477,4C(13%)-5C,4.0,13.0,5.0,1,data_2.xlsx,12,6.324804529278081,Train_policy_group_OOF,6.132910693567217,Train_policy_group_OOF,0.9710257122764164,0.970868,9.99,cross_fitted_development_evidence
EL150800460468,Prim. Test,2017-05-12,1054,5.4C(40%)-3.6C,5.4,40.0,3.6,1,data_1.xlsx,10,6.734668187474101,Primary_frozen_confirmation,6.717566954054556,Primary_frozen_confirmation,0.988198738316416,0.988310909091,11.11111111111111,restricted_confirmation_evidence
EL150800460473,Prim. Test,2017-06-30,466,6C(20%)-4.5C,6.0,20.0,4.5,1,data_2.xlsx,43,6.039840906243342,Primary_frozen_confirmation,6.277073304504577,Primary_frozen_confirmation,0.9827546657034651,0.983196181818,10.000000000000002,restricted_confirmation_evidence
EL150800460474,Prim. Test,2017-06-30,457,6C(40%)-4C,6.0,40.0,4.0,1,data_2.xlsx,45,6.377947499634468,Primary_frozen_confirmation,6.189062702473623,Primary_frozen_confirmation,0.976673675014184,0.977753272727,10.000000000000002,restricted_confirmation_evidence
EL150800460477,Prim. Test,2017-05-12,1014,5.4C(70%)-3C,5.4,70.0,3.0,1,data_1.xlsx,24,6.599075952317965,Primary_frozen_confirmation,6.759049838680976,Primary_frozen_confirmation,0.9829846565087332,0.982843181818,9.777777777777779,restricted_confirmation_evidence
