policy_table9,C1,Q1_percent,C2,tau_0_80_min,cell_count,train_oof_cell_count,primary_confirmation_cell_count,status,evidence_scope,q2_pred_median_log,q3_pred_median_log,q2_pred_empirical_p10_log,q3_pred_empirical_p10_log,q2_pred_empirical_p10_cycle,q3_pred_empirical_p10_cycle,life_rob_empirical_p10_cycle,q3_pred_soh_nom_120_median,q3_pred_soh_nom_120_empirical_p10,soh120_prediction_cell_count,development_pareto,pareto_scope
5.4C(80%)-5.4C,5.4,80.0,5.4,8.88888888888889,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.430106178350794,6.80326899874394,6.281047543734392,6.701317321613336,534.3481237740627,813.4767301280968,534.3481237740627,0.9846605257382142,0.9797885493471,2,True,development_pool_non_dominated_not_external
5.4C(70%)-3C,5.4,70.0,3.0,9.777777777777779,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.556303640519866,6.888533631974056,6.513531328721767,6.759049838680976,674.203051383387,861.8229358188437,674.203051383387,0.9813247827998666,0.979664909091,2,True,development_pool_non_dominated_not_external
2C(2%)-5C,2.0,2.0,5.0,9.96,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.08157109254746,6.2017697188386665,6.08157109254746,6.2017697188386665,437.71634767833956,493.62184043093526,437.71634767833956,0.9771073410325148,0.9771073410325148,1,False,not_on_development_pool_pareto
5.6C(65%)-3C,5.6,65.0,3.0,9.964285714285715,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.596513371904654,6.1653269471534005,6.596513371904654,6.1653269471534005,732.5366486341148,475.95673019765815,475.95673019765815,0.973972991872364,0.973972991872364,1,False,not_on_development_pool_pareto
3.6C(2%)-4.85C,3.6,2.0,4.85,9.98281786941581,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.436965700095495,6.345481460312254,6.436965700095495,6.345481460312254,624.508974460383,569.9117135436703,569.9117135436703,0.9717647606059536,0.9717647606059536,1,False,not_on_development_pool_pareto
5.6C(58%)-3.5C,5.6,58.0,3.5,9.985714285714286,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.569616878427052,6.330975975986778,6.569616878427052,6.330975975986778,713.0965881047637,561.7045365593809,561.7045365593809,0.9867071135895072,0.9867071135895072,1,False,not_on_development_pool_pareto
5.6C(47%)-4C,5.6,47.0,4.0,9.985714285714288,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.327815125898403,6.190205564479145,6.327815125898403,6.190205564479145,559.9318757587642,487.94640035327023,487.94640035327023,0.975138577326812,0.975138577326812,1,False,not_on_development_pool_pareto
4C(13%)-5C,4.0,13.0,5.0,9.99,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.324804529278081,6.132910693567217,6.324804529278081,6.132910693567217,558.2486817264562,460.7753866500716,460.7753866500716,0.9710257122764164,0.9710257122764164,1,False,not_on_development_pool_pareto
5.2C(58%)-4C,5.2,58.0,4.0,9.992307692307692,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.299545056613561,6.250854618838636,6.299545056613561,6.250854618838636,544.3242170844046,518.4557174122433,518.4557174122433,0.9852306159907276,0.9852306159907276,1,False,not_on_development_pool_pareto
5.2C(71%)-3C,5.2,71.0,3.0,9.992307692307692,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.885164572822333,6.243731322246632,6.885164572822333,6.243731322246632,977.6625531555221,514.7757259632025,514.7757259632025,0.9729200626109836,0.9729200626109836,1,False,not_on_development_pool_pareto
4.4C(24%)-5C,4.4,24.0,5.0,9.992727272727272,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.0903285110058,6.380702404271071,6.0903285110058,6.380702404271071,441.5664467593211,590.3422209608658,441.5664467593211,0.9751577106193688,0.9751577106193688,1,False,not_on_development_pool_pareto
