parameter_index,params_json,group_cv_rmse_log
7,"{""alpha"": 0.03, ""n_knots"": 4}",0.27684077075514757
8,"{""alpha"": 0.1, ""n_knots"": 4}",0.2787926515920613
9,"{""alpha"": 0.3, ""n_knots"": 4}",0.28807838435609046
10,"{""alpha"": 1.0, ""n_knots"": 4}",0.31074796048296627
0,"{""alpha"": 0.03, ""n_knots"": 3}",0.31154846384393814
1,"{""alpha"": 0.1, ""n_knots"": 3}",0.3138400532225079
2,"{""alpha"": 0.3, ""n_knots"": 3}",0.31901557224063837
3,"{""alpha"": 1.0, ""n_knots"": 3}",0.3274497972632806
11,"{""alpha"": 3.0, ""n_knots"": 4}",0.3319316231243958
4,"{""alpha"": 3.0, ""n_knots"": 3}",0.3344997221518738
5,"{""alpha"": 10.0, ""n_knots"": 3}",0.3419422844059664
12,"{""alpha"": 10.0, ""n_knots"": 4}",0.3420176196085824
13,"{""alpha"": 30.0, ""n_knots"": 4}",0.3466676218530023
6,"{""alpha"": 30.0, ""n_knots"": 3}",0.3473915166770951
