C1,Q1_percent,C2,q,single_stage_0_80,C2_effective,tau_0_80_min,E0_20,E20_40,E40_60,E60_80,observed_train_parameter_combo,d5_raw,d5_soc,passes_raw_5nn,passes_soc_5nn,passes_double_5nn,support_bootstrap_rate,passes_support_bootstrap,q2b_pred_log_life,q2b_pred_cycle_life,model_disagreement_log,candidate_type,status,status_reason
6.0,65.0,4.5,0.65,False,4.5,8.5,6.000000000000001,6.000000000000001,6.0,4.875,False,0.8378982452468531,2.6412377383926926,True,True,True,0.81,True,5.74846322631897,313.70819116601706,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,55.0,5.0,0.55,False,5.0,8.5,6.000000000000001,6.000000000000001,5.750000000000001,5.000000000000001,False,0.9472839800057375,2.6421914513124425,True,True,True,0.884,True,5.613596034411959,274.1282422802839,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,60.0,4.8,0.6,False,4.8,8.5,6.000000000000001,6.000000000000001,6.0,4.8,False,0.8599050730713695,2.6574356929079834,True,True,True,0.809,True,5.582663905673448,265.7786729026669,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,58.0,4.85,0.58,False,4.85,8.521649484536084,6.000000000000001,6.000000000000001,5.884999999999999,4.85,False,0.8954505905989908,2.606521197649347,True,True,True,0.899,True,5.580164804268788,265.11529431832446,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,60.0,4.75,0.6,False,4.75,8.526315789473685,6.000000000000001,6.000000000000001,6.0,4.75,False,0.8588105799563129,2.609931095418393,True,True,True,0.899,True,5.593063692609187,268.5571371488492,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,65.0,4.4,0.65,False,4.4,8.545454545454545,6.000000000000001,6.000000000000001,6.0,4.800000000000001,False,0.787972080723677,2.600306856528837,True,True,True,0.9,True,5.8044211078839805,331.76308271027887,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,69.0,4.0,0.69,False,4.0,8.55,6.000000000000001,6.000000000000001,6.0,4.8999999999999995,False,0.7160001745809842,2.5872446062780994,True,True,True,0.9,True,6.264688915809885,525.6780303965229,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,58.0,4.8,0.58,False,4.8,8.55,6.000000000000001,6.000000000000001,5.88,4.8,False,0.8752868334530842,2.553730776182818,True,True,True,0.946,True,5.587860105997333,267.1633064299954,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.2,37.0,6.0,0.37,False,6.0,8.56923076923077,5.2,5.32,6.0,6.0,False,1.0198039027185573,2.6407295150611096,True,True,True,0.854,True,6.193056305611084,489.3393938154459,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,58.0,4.75,0.58,False,4.75,8.578947368421053,6.000000000000001,6.000000000000001,5.875,4.75,False,0.8689660757568884,2.500433569068577,True,True,True,0.947,True,5.598259892933071,269.95624570800675,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
