C1,Q1_percent,C2,q,single_stage_0_80,C2_effective,tau_0_80_min,E0_20,E20_40,E40_60,E60_80,observed_train_parameter_combo,d5_raw,d5_soc,passes_raw_5nn,passes_soc_5nn,passes_double_5nn,support_bootstrap_rate,passes_support_bootstrap,q2b_pred_log_life,q2b_pred_cycle_life,model_disagreement_log,candidate_type,status,status_reason
1.0,2.0,3.0,0.02,False,3.0,16.8,2.8000000000000003,3.0000000000000004,3.0,3.0,False,2.7332630756691407,9.287747237852885,False,False,False,0.0,False,6.28758251166261,537.851506404104,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,3.5,0.02,False,3.5,14.571428571428571,3.2500000000000004,3.5,3.5,3.4999999999999996,False,2.5200648882154466,5.987124720882957,False,False,False,0.0,False,6.383194378026133,591.8151727984216,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,3.6,0.02,False,3.6,14.2,3.3400000000000007,3.6,3.6,3.6000000000000005,False,2.4829673861765342,5.444609254414776,False,False,False,0.0,False,6.352812355871948,574.1050283907477,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,4.0,0.02,False,4.0,12.9,3.7,4.0,4.0,4.0,False,2.355998098644464,3.6261830816457783,False,False,False,0.0,False,6.066269615832244,431.0696232118005,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,4.25,0.02,False,4.25,12.211764705882352,3.9250000000000007,4.25,4.25,4.25,False,2.289241140640278,2.8068148683918848,False,True,False,0.0,False,5.838479142685881,343.2568987208003,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,4.4,0.02,False,4.4,11.836363636363636,4.0600000000000005,4.4,4.4,4.4,False,2.217887508418766,2.524266303663458,False,True,False,0.0,False,5.734258681284403,309.2836080272101,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,4.5,0.02,False,4.5,11.6,4.15,4.5,4.5,4.5,False,2.17269993326276,2.3189632405880403,False,True,False,0.0,False,5.678300799719391,292.4520728433337,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,4.75,0.02,False,4.75,11.052631578947368,4.375,4.75,4.75,4.75,False,2.068967133620059,1.6406749279153623,False,True,False,0.0,False,5.585734586932774,266.59604880084504,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,4.8,0.02,False,4.8,10.95,4.42,4.8,4.8,4.8,False,2.0499329257319623,1.4771412696733568,False,True,False,0.0,False,5.575334799997035,263.83787377101464,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,4.85,0.02,False,4.85,10.849484536082475,4.465,4.85,4.85,4.85,False,2.031508060530404,1.322937599197065,False,True,False,0.0,False,5.567639498268491,261.81535365692827,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,5.0,0.02,False,5.0,10.559999999999999,4.6000000000000005,5.0,5.0,5.000000000000001,False,1.9800568173666133,0.9452485861119346,False,True,False,0.0,False,5.560780504326028,260.02570833164316,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,5.4,0.02,False,5.4,9.866666666666665,4.960000000000001,5.4,5.4,5.4,False,1.9279005446869097,1.1078909112030466,False,True,False,0.0,False,5.600406003802095,270.53622386719235,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,5.5,0.02,False,5.5,9.709090909090909,5.05,5.5,5.499999999999999,5.5,False,1.9427816424405713,1.2840283473333163,False,True,False,0.0,False,5.618269356015787,275.4123298572276,N/A,new_parameter_combo,rejected,no_support
1.0,2.0,6.0,0.02,False,6.0,9.0,5.5,6.000000000000001,6.0,6.0,False,2.062619817175255,2.5088804766370556,False,True,False,0.0,False,5.7553279811523055,315.86912965790583,N/A,new_parameter_combo,rejected,no_support
1.0,4.0,3.0,0.04,False,3.0,17.6,2.6,3.0000000000000004,3.0,3.0,False,2.7206902823079484,10.428340122707155,False,False,False,0.0,False,6.238924571519995,512.3072647599987,N/A,new_parameter_combo,rejected,no_support
1.0,4.0,3.5,0.04,False,3.5,15.428571428571427,3.0000000000000004,3.5,3.5,3.4999999999999996,False,2.506422871792568,7.138796214700024,False,False,False,0.0,False,6.334536437883518,563.7080287212743,N/A,new_parameter_combo,rejected,no_support
1.0,4.0,3.6,0.04,False,3.6,15.066666666666666,3.0800000000000005,3.6,3.6,3.6000000000000005,False,2.469120412666199,6.639201278262173,False,False,False,0.0,False,6.304154415729333,546.8389941792699,N/A,new_parameter_combo,rejected,no_support
1.0,4.0,4.0,0.04,False,4.0,13.8,3.4,4.0,4.0,4.0,False,2.3414003528326597,4.788703389703801,False,False,False,0.0,False,6.017611675689629,410.5967854682124,N/A,new_parameter_combo,rejected,no_support
1.0,4.0,4.25,0.04,False,4.25,13.129411764705884,3.6,4.25,4.25,4.25,False,2.2699034637389053,3.8747056254597196,False,False,False,0.0,False,5.7898212025432665,326.9545605056453,N/A,new_parameter_combo,rejected,no_support
1.0,4.0,4.4,0.04,False,4.4,12.763636363636362,3.72,4.4,4.4,4.4,False,2.197922140271097,3.4238305913891187,False,False,False,0.0,False,5.685600741141788,294.5947671000417,N/A,new_parameter_combo,rejected,no_support
1.0,4.0,4.5,0.04,False,4.5,12.533333333333335,3.8,4.5,4.5,4.5,False,2.1523154356863867,3.1691432058957556,False,False,False,0.0,False,5.6296428595767765,278.5626138958732,N/A,new_parameter_combo,rejected,no_support
1.0,4.0,4.75,0.04,False,4.75,12.0,4.0,4.75,4.75,4.75,False,2.0475501787975503,2.718575001181762,False,True,False,0.0,False,5.537076646790159,253.93457289002748,N/A,new_parameter_combo,rejected,no_support
