replicate,rmse_log_m1,rmse_log_m2,delta_rmse_log_m2_minus_m1,mae_log_m1,mae_log_m2,delta_mae_log_m2_minus_m1,relative_mae_improvement
1,0.34200470660367677,0.3633264853891591,0.02132177878548236,0.2668772827639586,0.2547975018195626,-0.01207978094439599,0.04526342901609963
2,0.4243885085758199,0.42174098285583517,-0.0026475257199847224,0.3165309642011605,0.2720672832408801,-0.044463680960280416,0.14047182105072992
3,0.37724458442991043,0.39267655327656964,0.015431968846659205,0.2859512787547079,0.2792361127390023,-0.006715166015705598,0.02348360197915373
4,0.442784291796833,0.4552059161603178,0.012421624363484818,0.31772485486505414,0.32163956152642825,0.003914706661374112,-0.012321058933323891
5,0.3849916943841375,0.4136614013451872,0.0286697069610497,0.265908857561916,0.2703960797877226,0.004487222225806609,-0.01687503856377471
6,0.4156656841744353,0.3991723665774191,-0.016493317597016166,0.2851384573861416,0.23572229682259832,-0.049416160563543254,0.1733058424196448
7,0.3745109055359059,0.38042727691211664,0.005916371376210761,0.2694385586139316,0.24975167816489147,-0.019686880449040156,0.07306630702864153
8,0.28581968062176133,0.3334224902445771,0.04760280962281577,0.22392329089409865,0.23650218258955155,0.012578891695452898,-0.05617500370429045
9,0.33562776258994537,0.3434947221188737,0.007866959528928352,0.2346975530257946,0.2260787268228832,-0.008618826202911378,0.0367231191454481
10,0.4156299405699635,0.4123132664567512,-0.0033166741132122923,0.30602349683275865,0.29502256683375416,-0.011000929999004483,0.035947991291062444
11,0.4107910338254139,0.40464089268883924,-0.006150141136574638,0.28280247483508136,0.23950350631745676,-0.0432989685176246,0.15310675248819786
12,0.4841758976317513,0.4630890392979566,-0.0210868583337947,0.3633948404377859,0.30594649149796876,-0.05744834893981715,0.1580879598362169
13,0.30071215694693976,0.3220222775186938,0.02131012057175402,0.2411858332259477,0.23630959291332276,-0.00487624031262493,0.020217772525871248
14,0.3860762128010795,0.35810882589565407,-0.02796738690542544,0.2940774235997078,0.23426465171534483,-0.05981277188436296,0.20339124014422436
