weighting,metric,baseline_model,baseline_k,candidate_model,candidate_k,point_delta_candidate_minus_baseline,ci95_low,ci95_high,candidate_improvement_rate,bootstrap_replicates,comparison_id
policy_equal,RMSE_log,M3,5,M3R,5,-0.02291356246473053,-0.06264996626733914,0.03435112523445828,0.821,2000,M3R_k5_vs_M3_k5
policy_equal,MAE_log,M3,5,M3R,5,-0.024750070691402754,-0.060416936773062944,0.01627874952135595,0.896,2000,M3R_k5_vs_M3_k5
policy_equal,cell_equal_soh_rmse,M3,5,M3R,5,-0.0028828583611385863,-0.005948318994016689,-0.00011819056828545678,0.9785,2000,M3R_k5_vs_M3_k5
cell_equal,RMSE_log,M3,5,M3R,5,-0.021634937438948787,-0.06107591989580726,0.03411157846586055,0.809,2000,M3R_k5_vs_M3_k5
cell_equal,MAE_log,M3,5,M3R,5,-0.023903419216352972,-0.058764938860169334,0.016119234410387703,0.8935,2000,M3R_k5_vs_M3_k5
cell_equal,cell_equal_soh_rmse,M3,5,M3R,5,-0.0028283920831511655,-0.005821726909119784,-0.00011876331474861636,0.979,2000,M3R_k5_vs_M3_k5
policy_equal,RMSE_log,M2,5,M3R,5,-0.041261654654731694,-0.09151904446463414,0.021772706447290055,0.9085,2000,M3R_k5_vs_M2_k5
policy_equal,MAE_log,M2,5,M3R,5,-0.03530270864119861,-0.07133988576849559,0.004273150821835238,0.9665,2000,M3R_k5_vs_M2_k5
policy_equal,cell_equal_soh_rmse,M2,5,M3R,5,-0.005279268869762731,-0.00907456892137235,-0.0016054903689280528,0.9975,2000,M3R_k5_vs_M2_k5
cell_equal,RMSE_log,M2,5,M3R,5,-0.03866774171359527,-0.08963025961591273,0.023743306729762156,0.893,2000,M3R_k5_vs_M2_k5
cell_equal,MAE_log,M2,5,M3R,5,-0.03361021057755112,-0.07059901887298359,0.004802636382068947,0.964,2000,M3R_k5_vs_M2_k5
cell_equal,cell_equal_soh_rmse,M2,5,M3R,5,-0.005172618277592841,-0.009002713838261853,-0.0015795883333337628,0.998,2000,M3R_k5_vs_M2_k5
policy_equal,RMSE_log,M2,100,M3R,5,0.00956065519656904,-0.04590763437964285,0.06015639084901644,0.3715,2000,M3R_k5_vs_M2_k100
policy_equal,MAE_log,M2,100,M3R,5,-0.01330828044990029,-0.051240009448363245,0.026887085207250916,0.7515,2000,M3R_k5_vs_M2_k100
policy_equal,cell_equal_soh_rmse,M2,100,M3R,5,-0.001735371186535807,-0.006811471208686341,0.003132865553755497,0.748,2000,M3R_k5_vs_M2_k100
cell_equal,RMSE_log,M2,100,M3R,5,0.008958881785820466,-0.04415638437219052,0.058370657540869834,0.373,2000,M3R_k5_vs_M2_k100
cell_equal,MAE_log,M2,100,M3R,5,-0.012941873557044153,-0.04958748657977915,0.026276387594389113,0.7505,2000,M3R_k5_vs_M2_k100
cell_equal,cell_equal_soh_rmse,M2,100,M3R,5,-0.0017586993243366017,-0.006715757022220357,0.002945890568843115,0.7535,2000,M3R_k5_vs_M2_k100
policy_equal,RMSE_log,M3,20,M3R,20,-0.004274397479545888,-0.03576502601266449,0.037965510692512756,0.62,2000,M3R_k20_vs_M3_k20
policy_equal,MAE_log,M3,20,M3R,20,-0.008263372532783475,-0.03932245237257997,0.028623954715795943,0.7155,2000,M3R_k20_vs_M3_k20
policy_equal,cell_equal_soh_rmse,M3,20,M3R,20,-0.0031442735618159162,-0.0053796035128726855,-0.0009676032841159772,0.9985,2000,M3R_k20_vs_M3_k20
cell_equal,RMSE_log,M3,20,M3R,20,-0.003813754838242478,-0.03500293538855477,0.03727701685186431,0.6125,2000,M3R_k20_vs_M3_k20
cell_equal,MAE_log,M3,20,M3R,20,-0.008372152022022544,-0.03900719703011179,0.02753175379170647,0.7205,2000,M3R_k20_vs_M3_k20
cell_equal,cell_equal_soh_rmse,M3,20,M3R,20,-0.0031026123167515185,-0.005310945653918675,-0.000967725606198658,0.9985,2000,M3R_k20_vs_M3_k20
policy_equal,RMSE_log,M3,100,M3R,100,0.02228815061432715,-0.0432010338227184,0.09834893376892204,0.304,2000,M3R_k100_vs_M3_k100
policy_equal,MAE_log,M3,100,M3R,100,0.007867326016417958,-0.028592775750520667,0.05505242365971779,0.3935,2000,M3R_k100_vs_M3_k100
policy_equal,cell_equal_soh_rmse,M3,100,M3R,100,-0.00015565372285721718,-0.004089851522890324,0.004156053229372685,0.5395,2000,M3R_k100_vs_M3_k100
cell_equal,RMSE_log,M3,100,M3R,100,0.021411898721096223,-0.04190046150743149,0.09559546064713058,0.3055,2000,M3R_k100_vs_M3_k100
cell_equal,MAE_log,M3,100,M3R,100,0.0075647481580085885,-0.027825716379167198,0.05280090382097417,0.396,2000,M3R_k100_vs_M3_k100
cell_equal,cell_equal_soh_rmse,M3,100,M3R,100,-0.00015807153949412567,-0.0040196535420818245,0.004040904369972532,0.5405,2000,M3R_k100_vs_M3_k100
