model_id,model_name,k,rmse_log,mae_log,cell_equal_soh_rmse,overprediction_rate,strictly_dominated,pareto_status
M3R,策略＋早期＋低维RAW电压 Ridge,5,0.2406959661164439,0.1571423730710565,0.0329940483234213,0.4390243902439024,False,非支配
M2,早期运行特征 Ridge（运行后基线）,100,0.2317370843306235,0.1700842466281006,0.034752747647758,0.5121951219512195,False,非支配
M3,策略＋早期特征联合 Ridge,5,0.2623309035553927,0.1810457922874094,0.0358224404065725,0.5121951219512195,True,严格支配
M2,早期运行特征 Ridge（运行后基线）,5,0.2793637078300393,0.1907525836486076,0.0381666666010141,0.5609756097560976,True,严格支配
M4,P3 策略先验＋早期残差 Ridge,5,0.3142469154794508,0.2492551891440731,0.0466433673493126,0.3902439024390244,True,严格支配
M1,策略参数 Ridge（设计前基线）,5,0.3716893590753992,0.2755652782283463,0.0469560618499472,0.5609756097560976,True,严格支配
M3,策略＋早期特征联合 Ridge,10,0.2594094344157833,0.1919326899431454,0.03771507074539,0.5365853658536586,True,严格支配
M2,早期运行特征 Ridge（运行后基线）,10,0.2653396470880255,0.1907411734994228,0.0380904320644967,0.6097560975609756,True,严格支配
M3R,策略＋早期＋低维RAW电压 Ridge,10,0.2871080126585327,0.1924048315733999,0.0357383437142879,0.5365853658536586,True,严格支配
M4,P3 策略先验＋早期残差 Ridge,10,0.2965245437424884,0.2449270622141947,0.0469846682449244,0.4390243902439024,True,严格支配
M1,策略参数 Ridge（设计前基线）,10,0.3716893590753992,0.2755652782283463,0.0472517246123945,0.5609756097560976,True,严格支配
M3R,策略＋早期＋低维RAW电压 Ridge,20,0.2593052031169744,0.1811978141434356,0.034164849550004,0.5365853658536586,True,严格支配
M3,策略＋早期特征联合 Ridge,20,0.2631189579552169,0.1895699661654581,0.0372674618667553,0.5365853658536586,True,严格支配
M4,P3 策略先验＋早期残差 Ridge,20,0.2974204197289954,0.2408131627923643,0.0461286245571059,0.4146341463414634,True,严格支配
M2,早期运行特征 Ridge（运行后基线）,20,0.3010264861895247,0.2020859287448671,0.0398706279276634,0.6097560975609756,True,严格支配
M1,策略参数 Ridge（设计前基线）,20,0.3716893590753992,0.2755652782283463,0.0476261428122828,0.5609756097560976,True,严格支配
M2,早期运行特征 Ridge（运行后基线）,50,0.2838038556488839,0.1994541903570903,0.0379819073555089,0.5609756097560976,True,严格支配
M3,策略＋早期特征联合 Ridge,50,0.2938807273001066,0.2001260802675192,0.0378334623612821,0.4634146341463415,True,严格支配
M3R,策略＋早期＋低维RAW电压 Ridge,50,0.3099806286102913,0.2085229660921731,0.0380730408285972,0.4634146341463415,True,严格支配
M4,P3 策略先验＋早期残差 Ridge,50,0.3501443628871543,0.2817411741529715,0.0508669625320752,0.3658536585365853,True,严格支配
M1,策略参数 Ridge（设计前基线）,50,0.3716893590753992,0.2755652782283463,0.0482843795054849,0.5609756097560976,True,严格支配
M3,策略＋早期特征联合 Ridge,100,0.2501002024805724,0.1842387882248891,0.0365173446133777,0.5121951219512195,True,严格支配
M3R,策略＋早期＋低维RAW电压 Ridge,100,0.2715121012016686,0.1918035363828976,0.0363592730738835,0.5365853658536586,True,严格支配
M4,P3 策略先验＋早期残差 Ridge,100,0.3011412748559713,0.2262864419424819,0.0442812005490909,0.3658536585365853,True,严格支配
M1,策略参数 Ridge（设计前基线）,100,0.3716893590753992,0.2755652782283463,0.0492746876791394,0.5609756097560976,True,严格支配
