weighting,metric,baseline_model,baseline_k,candidate_model,candidate_k,point_delta_candidate_minus_baseline,ci95_low,ci95_high,candidate_improvement_rate,bootstrap_replicates,comparison_id
policy_equal,RMSE_log,M2,5,M3,5,-0.018348092190001164,-0.03908439728107637,0.0072328675792433005,0.919,2000,M3_k5_vs_M2_k5
policy_equal,MAE_log,M2,5,M3,5,-0.010552637949795857,-0.03507906953637386,0.01610363936657404,0.779,2000,M3_k5_vs_M2_k5
policy_equal,cell_equal_soh_rmse,M2,5,M3,5,-0.0023964105086241444,-0.004719725127528511,4.651832618484192e-05,0.973,2000,M3_k5_vs_M2_k5
cell_equal,RMSE_log,M2,5,M3,5,-0.017032804274646485,-0.038128489209057724,0.00845914046316951,0.902,2000,M3_k5_vs_M2_k5
cell_equal,MAE_log,M2,5,M3,5,-0.009706791361198147,-0.03420859116705665,0.016398075720757216,0.7665,2000,M3_k5_vs_M2_k5
cell_equal,cell_equal_soh_rmse,M2,5,M3,5,-0.002344226194441676,-0.004623472070933622,4.655272189202489e-05,0.973,2000,M3_k5_vs_M2_k5
policy_equal,RMSE_log,M2,10,M3,10,-0.006599275240416702,-0.025499855937492454,0.013754879211564715,0.729,2000,M3_k10_vs_M2_k10
policy_equal,MAE_log,M2,10,M3,10,0.0009854487389101552,-0.018565860353528307,0.020325992630583507,0.4635,2000,M3_k10_vs_M2_k10
policy_equal,cell_equal_soh_rmse,M2,10,M3,10,-0.00035227872921000936,-0.0022691158496904607,0.0015855007787811213,0.616,2000,M3_k10_vs_M2_k10
cell_equal,RMSE_log,M2,10,M3,10,-0.005930212672242086,-0.02460727170152581,0.014182454774928991,0.711,2000,M3_k10_vs_M2_k10
cell_equal,MAE_log,M2,10,M3,10,0.00119151644372259,-0.017890362124528183,0.02019130976933851,0.455,2000,M3_k10_vs_M2_k10
cell_equal,cell_equal_soh_rmse,M2,10,M3,10,-0.0003753613191067387,-0.0022517215114349776,0.0015585199439841877,0.6265,2000,M3_k10_vs_M2_k10
policy_equal,RMSE_log,M2,20,M3,20,-0.03686281398553376,-0.10440496655060148,0.01420494689354147,0.8095,2000,M3_k20_vs_M2_k20
policy_equal,MAE_log,M2,20,M3,20,-0.009788415854819738,-0.046306601346605455,0.022702844453666705,0.711,2000,M3_k20_vs_M2_k20
policy_equal,cell_equal_soh_rmse,M2,20,M3,20,-0.0021222033978094967,-0.005068017658735295,0.0008527593243618018,0.918,2000,M3_k20_vs_M2_k20
cell_equal,RMSE_log,M2,20,M3,20,-0.037907528234307764,-0.10420171917508324,0.012726944993753694,0.844,2000,M3_k20_vs_M2_k20
cell_equal,MAE_log,M2,20,M3,20,-0.012515962579408874,-0.04901745724302364,0.021130114441256804,0.762,2000,M3_k20_vs_M2_k20
cell_equal,cell_equal_soh_rmse,M2,20,M3,20,-0.00260316606090797,-0.005758411660342054,0.0007325687137045828,0.9375,2000,M3_k20_vs_M2_k20
policy_equal,RMSE_log,M2,50,M3,50,0.010675187449045331,-0.039502169156731874,0.053513948468838085,0.369,2000,M3_k50_vs_M2_k50
policy_equal,MAE_log,M2,50,M3,50,0.0012017504460868356,-0.027460941445692114,0.028747751248352913,0.4785,2000,M3_k50_vs_M2_k50
policy_equal,cell_equal_soh_rmse,M2,50,M3,50,-0.00011023390294024465,-0.0025645925311138856,0.0025608682568483525,0.5295,2000,M3_k50_vs_M2_k50
cell_equal,RMSE_log,M2,50,M3,50,0.010076871651222674,-0.039128735202832214,0.05228826153464845,0.3755,2000,M3_k50_vs_M2_k50
cell_equal,MAE_log,M2,50,M3,50,0.00067188991042888,-0.027292036094034765,0.027831008842775333,0.4905,2000,M3_k50_vs_M2_k50
cell_equal,cell_equal_soh_rmse,M2,50,M3,50,-0.0001484449942268859,-0.0025253889971280216,0.002454557764480104,0.5425,2000,M3_k50_vs_M2_k50
policy_equal,RMSE_log,M2,100,M3,100,0.017064883694883987,-0.0020320012398372224,0.03903225972189991,0.0495,2000,M3_k100_vs_M2_k100
policy_equal,MAE_log,M2,100,M3,100,0.013216342755573207,-0.003386250395491213,0.031022966924022292,0.0645,2000,M3_k100_vs_M2_k100
policy_equal,cell_equal_soh_rmse,M2,100,M3,100,0.0017486318976441192,6.2789465732305755e-06,0.0036973908572031206,0.024,2000,M3_k100_vs_M2_k100
cell_equal,RMSE_log,M2,100,M3,100,0.018363118149948815,-0.0009375268660571346,0.039883714684815066,0.0345,2000,M3_k100_vs_M2_k100
cell_equal,MAE_log,M2,100,M3,100,0.014154541596788417,-0.0026847075774671996,0.0318036324718952,0.053,2000,M3_k100_vs_M2_k100
cell_equal,cell_equal_soh_rmse,M2,100,M3,100,0.001764596965619758,5.687564870988008e-05,0.0036818108843045746,0.02,2000,M3_k100_vs_M2_k100
policy_equal,RMSE_log,M2,5,M4,5,0.027520001682305784,-0.0929028473560806,0.15204668162773868,0.3175,2000,M4_k5_vs_M2_k5
policy_equal,MAE_log,M2,5,M4,5,0.055620889004242835,-0.026026771660121965,0.13404633201099236,0.087,2000,M4_k5_vs_M2_k5
policy_equal,cell_equal_soh_rmse,M2,5,M4,5,0.008595773186707706,-0.0007110227334499881,0.0183643786554507,0.035,2000,M4_k5_vs_M2_k5
cell_equal,RMSE_log,M2,5,M4,5,0.03488320764941161,-0.08341738232902426,0.157575367761588,0.2635,2000,M4_k5_vs_M2_k5
cell_equal,MAE_log,M2,5,M4,5,0.05850260549546554,-0.02240905902090491,0.13443064159656165,0.071,2000,M4_k5_vs_M2_k5
cell_equal,cell_equal_soh_rmse,M2,5,M4,5,0.008476700748298593,-0.0006480905323812315,0.01809865665976432,0.034,2000,M4_k5_vs_M2_k5
policy_equal,RMSE_log,M2,100,M3,5,0.03247421766129957,-0.03481256874976433,0.0827394282157602,0.1515,2000,M3_k5_vs_M2_k100
policy_equal,MAE_log,M2,100,M3,5,0.011441790241502464,-0.03049629869179337,0.05175167383587079,0.29,2000,M3_k5_vs_M2_k100
policy_equal,cell_equal_soh_rmse,M2,100,M3,5,0.0011474871746027793,-0.0037981986363417853,0.005218212429453088,0.3135,2000,M3_k5_vs_M2_k100
cell_equal,RMSE_log,M2,100,M3,5,0.030593819224769253,-0.03481432410193325,0.0803701189269781,0.162,2000,M3_k5_vs_M2_k100
cell_equal,MAE_log,M2,100,M3,5,0.010961545659308819,-0.029849243503597873,0.05028404014526415,0.292,2000,M3_k5_vs_M2_k100
cell_equal,cell_equal_soh_rmse,M2,100,M3,5,0.0010696927588145638,-0.003729517175554855,0.0050467275462930256,0.321,2000,M3_k5_vs_M2_k100
policy_equal,RMSE_log,M2,100,M2,5,0.050822309851300734,-0.019813162957936094,0.11039557986368147,0.0855,2000,M2_k5_vs_M2_k100
policy_equal,MAE_log,M2,100,M2,5,0.02199442819129832,-0.014103333038267251,0.05817306124181826,0.129,2000,M2_k5_vs_M2_k100
